Node;Core Number;Core Strength;Core Influence
CPT-GREYBEL1-TSN493-CGSB;2;1;0.040613846605343264
CPT-GREYBEL1-TSN585-UWC-FCHS;2;1;0.040613846605342944
CPT-GREYBEL1-TSN34-CPUTB;2;1;0.04061384660534362
DBN-GREY1-TSN375-SANBI;2;1;0.04061384660534404
DBN-GREY1-TSN11-DUTS;2;1;0.04061384660534389
DUR1-PE1;2;6;0.14214846311870463
DBN-GREY1-TSN150-DUTB;2;1;0.04061384660534387
DBN-GREY1-TSN132-MRC;2;1;0.04061384660534393
DBN-GREY1-TSN222-TIA-PWC;2;2;0.06092076990801591
DBN-GREY1-TSN662-CAPRISA-KDH;2;1;0.04061384660534415
DBN-GREY1-TSN13-CAO;2;1;0.04061384660534475
DUR2-PE1;2;6;0.14214846311870633
DBN-GREY1-TSN366-UKZNE-PE;2;1;0.040613846605344776
DBN-GREY1-TSN97-CSIR;2;1;0.04061384660534444
ZEE1-OR1;2;1;0.04061384660534434
ZEH1-PE1;2;5;0.12184153981603368
RCB-TSN596-WRLHS-ALTSO;1;2;0.0406138466053445
RCB-TSN20-AHRI-SOM-1;1;1;0.020306923302672256
RCB-TSN116-UZ-RCB-PE;2;1;0.040613846605344395
VDP-GREY1-TSN90-VUTMC;1;1;0.020306923302672104
CPT-GREYSLB1-TSN292-ARCINFR;1;1;0.02030692330267181
CPT-GREYSLB1-TSN79-SUN;2;1;0.040613846605343513
PTD-TSN216-WSU-PTD-PE;2;1;0.0406138466053445
BIY-TSN65-UFH-BHISHO-PE;2;4;0.10153461651336124
UTE-TSN12-WSU-B-PE;2;1;0.04061384660534447
PTA-GREYS3-TSN250-TIAMHO;2;1;0.0406138466053462
PTA-GREYS3-TSN403-ASSAF;2;2;0.060920769908019354
PTA-TSN455-SITA-CENT-PE;2;2;0.06092076990801905
LCD-TSN186-UNISAM;1;1;0.02030692330267228
THY-TSN87-UNIVEN-MC-PE;1;3;0.06092076990801683
ALC-TSN64-UFHA;2;1;0.040613846605344436
GRH1-PE1;2;2;0.06092076990801653
GRH1-PE2;2;1;0.040613846605344464
MFK-TSN32-NWUM;1;1;0.02030692330267248
MFK1-PE1;2;1;0.04061384660534499
KIM-TSN345-SPU-NC-PE;2;1;0.040613846605344506
ZEH-TSN938-DHA-POTCH;1;1;0.02030692330267227
PTA-GREYS3-TSN8-CHE;2;1;0.040613846605346234
PTA-GREYS2-TSN299-ARCIAE;2;1;0.04061384660534484
PTA-GREYN1-TSN298-ARCOVI;2;1;0.04061384660534611
PTA-GREYN1-TSN75-UPO;2;1;0.04061384660534589
PTA-CSIR-TWR;1;1;0.02030692330267307
CPT-GREYSS1-TSN144-CPUTGSH;2;1;0.04061384660534345
CPT-GREYSS1-TSN273-CPUTGSR;2;1;0.04061384660534345
CPT-GREYSS1-TSN768-UCTCAN;2;1;0.04061384660534366
CPT-GREYSS1-TSN272-UCTDOR;2;2;0.06092076990801585
CPT-GREYSS1-TSN169-UCTRHR;2;3;0.08122769321068711
CPT-GREYBEL1-TSN174-UNIBEL;2;1;0.04061384660534265
CPT-GREYBEL1-TSN22-MRCCPT-PE;2;3;0.08122769321068586
CPT-GREYBEL1-TSN812-UWC-DIH;2;1;0.040613846605342625
CPT-GREYBEL1-TSN278-UWCT;2;1;0.04061384660534283
CPT-GREYBEL1-TSN147-CPUTT;2;2;0.06092076990801446
CPT-GREYBEL1-TSN208-USTYG;2;1;0.04061384660534286
CPT6-PE1;2;4;0.10153461651335859
CPT-GREYBEL1-TSN487-MRCN;2;1;0.04061384660534284
CPT-GREYCBD1-TSN650-NLSA-CFB;2;1;0.04061384660534514
CPT-GREYCBD1-TSN24-NLSA;2;2;0.060920769908017466
CPT-GREYCBD1-TSN18-IZMU;2;2;0.06092076990801767
CPT-GREYCBD2-TSN143-CPUTGB;2;1;0.04061384660534466
CPT-GREYCBD2-TSN109-SANAP;2;1;0.04061384660534456
CPT-GREYCBD2-TSN215-HSRCCPT;2;1;0.04061384660534459
CPT-GREYCBD2-TSN164-UCTBS;2;2;0.060920769908016766
CPT-GREYCBD1-TSN275-MCM;2;1;0.04061384660534529
CPT-GREYCBD1-TSN641-SAEON;2;1;0.04061384660534492
CPT-GREYCBD1-TSN490-CPGR;2;1;0.0406138466053453
CPT-GREYCBD1-TSN4-CPUTCPT;2;2;0.060920769908017855
CPT-GREYCBD1-TSN276-CPUTOPT;2;1;0.040613846605345186
CPT-GREYCBD1-TSN163-UCT-HID;2;2;0.060920769908017695
CPT-GREYCBD1-TSN277-CPUTB;2;1;0.040613846605345186
CPT-GREYSS2-TSN271-UCTRBG;2;2;0.060920769908016606
CPT-GREYSS2-TSN800-UWC-CASAS;2;1;0.04061384660534436
CPT-GREYSS2-TSN168-UCTRCCH;2;1;0.04061384660534466
CPT-GREYSS2-TSN167-UCTRMH;2;1;0.04061384660534457
JNB5-TSN249;2;2;0.06092076990801667
SDT-TSN535-UCT-GSB;2;1;0.0406138466053443
JNB1-PE1;2;6;0.14214846311870552
NC-SKA-TSN239-LOS;2;1;0.04061384660534498
NC-SKA-TSN238-KLE;2;2;0.0609207699080175
LOS-TSN239-SKA-LOS-PE;2;2;0.060920769908017494
KLE-TSN238-SKA-KLE-PE;2;2;0.0609207699080175
CPT5-PE1;2;3;0.08122769321068718
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;2;1;0.040613846605343826
CPT8-PE1;2;1;0.040613846605344416
CPT-GREYSS1-TSN804-SKAO-BRP;2;1;0.04061384660534356
PTA-TSN15-HARTRAO;1;1;0.020306923302672416
HLA1-PE1;2;3;0.08122769321068991
PTA-GREYS1-TSN301-DST;2;1;0.040613846605346206
PTA-GREYS1-TSN30-NRF;2;1;0.040613846605346254
PTA-GREYS2-TSN158-TUT-ARCADIA;2;1;0.04061384660534579
PTA-GREYS2-TSN38-SAASTA;2;1;0.04061384660534575
PTA2-PE1;2;11;0.24368307963207436
PTA-GREYS2-TSN29-ZOO;2;1;0.040613846605343305
PTA-GREYS2-TSN410-TUT-BAE;2;1;0.04061384660534363
PTA-GREYS2-TSN159-TUT-ARTS;2;1;0.0406138466053429
PTA3-PE1;2;1;0.04061384660534597
PTA-GREYN1-TSN184-UNISA-LTC;2;1;0.04061384660534217
PTA-GREYN1-TSN200-UNISA-SSE;2;1;0.04061384660534239
PTA-GREYN1-TSN201-UNISA-SSW;2;1;0.040613846605342264
PTA-GREYN1-TSN204-UNISA-SRB;2;1;0.04061384660534489
PTA-GREYN1-TSN538-TUT-ADT;2;1;0.04061384660534536
PTA4-PE1;2;1;0.040613846605346005
PTA-GREYN2-TSN282-INNHUB;2;1;0.04061384660534623
MTZ1-IR1;3;4;0.12184153981603371
MTZ1-IR1-MTZ1-RR1;1;1;0.020306923302672322
AMS1-IR1;3;1;0.06092076990801677
RCB1-PE1;2;1;0.04061384660534445
AMS1-IR1-AMS1-PR2;3;1;0.06092076990801679
ISD1-PE1-ISD1-RR1;1;1;0.020306923302672284
LDN1-IR1-LDN1-PR1;1;1;0.02030692330267226
LDN1-IR1-LDN1-PR2;3;1;0.060920769908016835
DUR-TSN19-MUT;2;1;0.04061384660534462
BFN-GREY1-TSN173-UNISAB;1;1;0.020306923302672357
KIM-TSN760-SPUC;2;1;0.04061384660534456
PZB-TSN534-HSRC-SW;1;1;0.02030692330267279
PZB-TSN670-ARC-CACWL;1;1;0.020306923302672794
PZB-TSN267-SAEON-GWFN;1;1;0.020306923302672805
PTA-GREYS2-TSN660-NSF-NDI;2;1;0.040613846605345554
LAB-PTA-MX10K;1;4;0.08122769321069309
PTA-TSN397-ARCPPRI;1;1;0.020306923302673044
POL1-PE1;2;4;0.1015346165133671
NLP-TSN344-UMP-DC2-PE;2;2;0.06092076990801967
RSB1-PE1;2;1;0.04061384660534556
PTA-GREYS3-TSN259-SAWS;2;1;0.040613846605345956
WIT-TSN160-TUT-WIT-PE;2;1;0.04061384660534605
PTA-GREYS2-TSN409-TUT-SKINNER-PE;2;2;0.060920769908018126
CPT-GREYSLB1-TSN103-CSIR;1;1;0.020306923302671753
JNB-NHLS-TSN677-SAND;2;1;0.04061384660534447
JNB-TSN76-UNISA-FLORIDA-PE;2;2;0.06092076990801682
JNB-TSN251-GIBS;2;1;0.0406138466053443
JNB-TSN949-GIBS-NORTH;2;1;0.04061384660534429
JNB-GREY2-TSN171-UJSO;2;1;0.04061384660534463
UTT-TSN362-WSU-MHRC;1;1;0.020306923302672253
UTT-TSN189-UNISA-MTH;1;1;0.02030692330267221
AMS1-IR1-AMS1-PR1;1;1;0.02030692330267228
POL-GREY1-TSN56-TUT-POLC;2;3;0.08122769321069405
POL-GREY1-TSN309-UNISA-PHUB;2;1;0.04061384660534705
POL-GREY1-TSN313-UL-POLH;2;1;0.040613846605346976
POL-GREY1-TSN194-UNISA-PLIB;2;2;0.060920769908020526
LAB-PTA-SAST;1;1;0.02030692330267329
LAB-PTA-IXR;1;1;0.020306923302673217
LAB-PTA-MX204;1;1;0.020306923302673276
JNB-GREY2-TSN659-WITS-CLMDC;2;1;0.04061384660534453
HLA1-TSN294-NECSA-1;2;1;0.04061384660534476
CPT-GREYBEL1-TSN207-USBS-PE;2;1;0.04061384660534279
JNB-GREY-TSN285-WITS-RMH;2;1;0.040613846605344193
JNB-GREY-TSN284-WITS-HJH;2;1;0.040613846605344256
ISD1-PE2-ISD1-PR3;1;1;0.020306923302672322
JNB-TSN199-UNISA-SBL-PE;2;1;0.040613846605344506
JNB-GREY1-TSN690-NHLS-BRAAM;2;1;0.04061384660534453
CPT-GREYSS2-TSN788-UCTSHAW;2;1;0.04061384660534454
CPT-GREYSS2-TSN165-UCTLGR;2;2;0.060920769908016856
CPT1-IR1-CPT1-PR1;1;1;0.020306923302672284
CPT1-IR1-CPT1-RR1;1;1;0.020306923302672277
CPT1-LG1;1;1;0.020306923302672246
DUR3-PE1-DUR3-PR1;1;1;0.020306923302672322
DBN-GREY1-TSN231-UKZNW-PE;1;1;0.02030692330267227
NLP1-PE1;2;1;0.04061384660534626
NLP-TSN537-ARC-ITSC;1;1;0.02030692330267314
DBN-TSN935-DHA-UMGENI;1;1;0.02030692330267204
TLP-TSN83-UL-TLP-PE;2;1;0.040613846605346796
UTT-TSN363-WSU-ZAM;1;1;0.020306923302672225
PTA-TSN940-DHA-SOSH;1;1;0.020306923302672752
CPT-TENET-LAB-ALU-2;2;1;0.04061384660534348
LAB-MX204-JNB1;2;1;0.0406138466053434
THY-TSN87-UNIVEN-SSB;1;1;0.02030692330267233
PTA-GREYN1-TSN399-TUT-ZAR;2;1;0.04061384660534311
PTA-GREYS2-TSN355-TUT-LEGAE;2;1;0.040613846605344756
PTA-GREYS2-TSN16-HSRC-MC;2;1;0.040613846605344284
PTA-GREYS2-TSN262-ARCISCW;2;1;0.04061384660534298
PTA-GREYS2-TSN300-DAFF;2;1;0.04061384660534284
PTA-GREYS2-TSN263-MRC-MC-PE;2;2;0.06092076990801426
PTA-GREYN1-TSN27-NLSA-PTA;2;1;0.0406138466053425
NLP-TSN946-UMP-DC1-PE;2;1;0.04061384660534668
PTA-TSN377-ARC-IRENE-PE;1;1;0.020306923302673075
CPT-TENET-LAB-ALU-1;2;1;0.04061384660534345
