Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;2;2;1
DBN-GREY1-TSN497-CAPRISA-DDMRI;2;1;1
DBN-GREY1-TSN151-DUTC;2;2;0
DBN-GREY1-TSN176-UNISAM;2;2;0
DBN-GREY1-TSN232-NMMS;2;1;2
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0
CPT-GREYSS1-TSN145-CPUTM;2;2;3
CPT4-PE1;2;1;1
CPT1-IR1;3;15;10
TENET-TSN118-AIMS;2;1;2
CPT-GREYSS1-TSN495-UCTVH;1;1;0
CPT-GREYSS1-TSN39-SAAO;2;3;2
JNB-GREY2-TSN99-CSMI;2;1;0
JNB-GREY2-TSN42-UJBU;2;3;2
JNB3-PE1;2;5;3
JNB-GREY2-TSN42-UJBU-2;2;2;1
JNB-GREY2-TSN295-CSIR-CTF;2;1;1
JNB-GREY1-TSN110-WITSE;2;1;2
JNB-GREY1-TSN112-WITSM;2;1;1
JNB-TSN44-UJ-DF-PE;2;2;2
HMS-TSN28-SANSA;2;1;0
GRJ-TSN459-NMU-GC;2;2;1
CPT2-PE1;2;10;6
VDP-GREY2-TSN484-DFA-VDBP;2;1;1
VDP-GREY2-TSN139-NWUFAR;2;1;2
VDP1-PE1;2;5;4
CPT-GREYSS1-TSN463-DFA-PLN;2;2;0
CPT3-PE1;3;25;11
CPT1-LAB1;2;1;2
TENET-TSN470-DFA-WYN;2;1;1
TERACO-TSN462-RDB;1;2;1
SLB-TSN750-DOA-ELSEN;1;1;0
PHU-TSN247-UFSQ;2;2;2
BTH-TSN504-ARC-SGI;2;1;1
DUR3-PE1;3;14;7
WEL1-PE1;2;2;2
PTA-GREYS2-TSN499-DFASAMCOR;2;2;2
PTA-GREYS2-TSN257-SANBI;2;1;1
PTA-GREYS2-TSN260-CGS;2;2;3
PTA-GREYS2-TSN509-UP-MAMC;1;1;0
BFN2-PE1;3;3;2
BFN3-PE1;3;3;3
BFN1-PE1;3;6;5
BFN-GREY1-TSN246-UFSPSY;1;1;0
BFN-GREY1-TSN244-UFSNATH;2;1;1
JNB2-PE1;3;12;5
PTA-GREYS2-TSN40-USAF;2;1;0
PTA-GREYS2-TSN973-UNIVEN-COL;2;2;3
PTA-GREYS2-TSN261-ARC-HO-PE;2;2;2
UTW-TSN468-WSUQ;2;1;1
UTT-TSN86-WSU-NMD-PE;2;6;5
WTS-TSN467-WSUW;2;1;1
PLZ1-PE1;2;3;0
ISD1-PE1-ISD1-PR1;1;1;0
ISD1-PE1;3;10;5
CPT7-PE1;2;2;1
CPT-TSN793-NSFAS-CBD;2;1;0
CPT3-PE1-CPT3-PR1;1;1;0
CPT3-PE1-CPT3-PR2;1;1;0
PLZ2-PE1;2;2;0
NC-SAAO-TSN91-SUTH;1;1;0
LDN1-IR1;3;2;3
ISD1-PE2;3;6;3
SMT-TSN590-IMT;1;1;0
CAR-TSN237-SKA-CAR-PE;2;2;0
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;2;1;1
CPT-GREYSS2-TSN170-UCTSSI;2;1;1
CPT-GREYSS2-TSN270-UCTGSR;2;1;0
CPT9-PE1;2;2;1
CPT-GREYSS2-TSN236-SARAO-PE;2;3;1
CPT-TSN943-DHA-WYNBERG;1;1;0
CPT3-PE2;2;1;0
PZB-GREY1-TSN383-DUTI;2;1;1
PZB1-PE1;2;8;7
PZB-GREY1-TSN384-SANBIP;2;1;1
PZB-GREY1-TSN193-UNISAP;2;2;1
PZB-GREY1-TSN385-CGSP;2;2;1
PZB-GREY1-TSN10-DUTRC;2;1;0
BFN-GREY1-TSN242-UFSSC;2;1;1
BFN-GREY1-TSN245-UFSPELH;2;1;2
ELS-GREY1-TSN108-WSU-CHS;2;1;1
ELS3-PE1;3;4;2
ELS-GREY1-TSN177-UNISAE;2;1;1
ELS-GREY1-TSN393-WSU-CAM;2;1;0
ELS2-PE1;2;4;2
ELS1-PE1;3;6;4
PTA-GREYN2-TSN395-TUT-ZET;2;1;1
PTA-GREYN2-TSN141-UPGC;2;1;1
PTA-GREYN2-TSN254-UP-HILL-PE;2;2;2
PTA-GREYN1-TSN354-TUT-MONITOR;1;1;0
PTA-GREYN1-TSN74-UP-MED-PE;2;5;4
PTA-GREYN1-TSN391-TUT-KOSMOS;2;1;2
PTA-GREYN1-TSN203-UNISA-SN;2;1;2
PTA-GREYN1-TSN353-TUT-TEMPO;2;1;2
PTA-GREYN1-TSN315-BREYTEN;2;1;2
PTA-GREYN1-TSN161-TUT-SOSN;2;1;2
PTA-GREYN1-TSN162-TUT-SOSS;2;2;3
PTA-GREYN1-TSN49-TUT-ERC-GAR;2;1;1
PTA-GREYN1-TSN389-SMU-MC-PE;2;2;2
PTA-CSIR-SCALAB;1;1;0
PTA1-PE1;2;18;14
KRO-TSN182-UNISAKRO;2;1;1
VDP-GREY2-TSN598-VUT-EMF;2;1;1
CPT-GREYBEL1-TSN493-CGSB;2;1;2
CPT-GREYBEL1-TSN585-UWC-FCHS;2;1;2
CPT-GREYBEL1-TSN34-CPUTB;2;1;1
DBN-GREY1-TSN375-SANBI;2;1;1
DBN-GREY1-TSN11-DUTS;2;1;1
DUR1-PE1;2;7;3
DBN-GREY1-TSN150-DUTB;2;1;1
DBN-GREY1-TSN132-MRC;2;1;2
DBN-GREY1-TSN222-TIA-PWC;2;2;2
DBN-GREY1-TSN662-CAPRISA-KDH;2;1;1
DBN-GREY1-TSN13-CAO;2;1;1
DUR2-PE1;2;6;4
DBN-GREY1-TSN366-UKZNE-PE;2;1;1
DBN-GREY1-TSN97-CSIR;2;1;1
ZEE1-OR1;2;1;0
ZEH1-PE1;2;6;4
RCB-TSN596-WRLHS-ALTSO;1;2;1
RCB-TSN20-AHRI-SOM-1;1;1;0
RCB-TSN116-UZ-RCB-PE;2;2;1
VDP-GREY1-TSN90-VUTMC;1;1;0
CPT-GREYSLB1-TSN292-ARCINFR;1;1;0
CPT-GREYSLB1-TSN79-SUN;2;3;2
PTD-TSN216-WSU-PTD-PE;2;1;0
BIY-TSN65-UFH-BHISHO-PE;2;4;4
UTE-TSN12-WSU-B-PE;2;1;0
PTA-GREYS3-TSN250-TIAMHO;2;1;0
PTA-GREYS3-TSN403-ASSAF;2;2;2
PTA-TSN455-SITA-CENT-PE;2;3;3
LCD-TSN186-UNISAM;1;1;0
THY-TSN87-UNIVEN-MC-PE;1;3;2
ALC-TSN64-UFHA;2;1;0
GRH1-PE1;2;2;2
GRH1-PE2;2;1;0
MFK-TSN32-NWUM;1;1;0
MFK1-PE1;2;2;2
KIM-TSN345-SPU-NC-PE;2;1;1
ZEH-TSN938-DHA-POTCH;1;1;0
PTA-GREYS3-TSN8-CHE;2;1;0
PTA-GREYS2-TSN299-ARCIAE;2;1;0
PTA-GREYN1-TSN298-ARCOVI;2;1;1
PTA-GREYN1-TSN75-UPO;2;1;2
PTA-CSIR-TWR;1;1;0
CPT-GREYSS1-TSN144-CPUTGSH;2;1;2
CPT-GREYSS1-TSN273-CPUTGSR;2;1;1
CPT-GREYSS1-TSN768-UCTCAN;2;1;1
