Node;Betweeness Centrality
CPT-GREYSLB1-TSN79-SUN;0.015934449093444908
PTD-TSN216-WSU-PTD-PE;0.0
BIY-TSN65-UFH-BHISHO-PE;0.004985471873547187
UTE-TSN12-WSU-B-PE;0.0
PTA-GREYS3-TSN250-TIAMHO;5.230125523012553e-05
PTA-GREYS3-TSN403-ASSAF;0.0047884704788470475
PTA-TSN455-SITA-CENT-PE;0.003178754067875407
LCD-TSN186-UNISAM;0.0
THY-TSN87-UNIVEN-MC-PE;0.0
ALC-TSN64-UFHA;0.000975708972570897
GRH1-PE1;0.011820083682008365
GRH1-PE2;0.0
MFK-TSN32-NWUM;0.0
MFK1-PE1;0.011876120741183506
KIM-TSN345-SPU-NC-PE;0.0
ZEH-TSN938-DHA-POTCH;0.0
PTA-GREYS3-TSN8-CHE;0.0
PTA-GREYS2-TSN299-ARCIAE;0.0
PTA-GREYN1-TSN298-ARCOVI;0.03922594142259414
PTA-GREYN1-TSN75-UPO;0.03152022315202232
PTA-CSIR-TWR;0.0
CPT-GREYSS1-TSN144-CPUTGSH;0.00798465829846583
CPT-GREYSS1-TSN273-CPUTGSR;0.0
CPT-GREYSS1-TSN768-UCTCAN;0.03152022315202232
CPT-GREYSS1-TSN272-UCTDOR;0.04382760743247144
CPT-GREYSS1-TSN169-UCTRHR;0.0011680613668061366
CPT-GREYBEL1-TSN174-UNIBEL;0.00798465829846583
CPT-GREYBEL1-TSN22-MRCCPT-PE;0.027649930264993027
CPT-GREYBEL1-TSN812-UWC-DIH;0.0
CPT-GREYBEL1-TSN278-UWCT;3.486750348675035e-05
CPT-GREYBEL1-TSN147-CPUTT;0.011750348675034867
CPT-GREYBEL1-TSN208-USTYG;0.00010460251046025105
CPT6-PE1;0.07957171083217107
CPT-GREYBEL1-TSN487-MRCN;5.230125523012553e-05
CPT-GREYCBD1-TSN650-NLSA-CFB;0.0
CPT-GREYCBD1-TSN24-NLSA;0.0399639702463969
CPT-GREYCBD1-TSN18-IZMU;0.024761738726173977
CPT-GREYCBD2-TSN143-CPUTGB;0.00798465829846583
CPT-GREYCBD2-TSN109-SANAP;0.015899581589958158
CPT-GREYCBD2-TSN215-HSRCCPT;0.0
CPT-GREYCBD2-TSN164-UCTBS;0.03293766583254031
CPT-GREYCBD1-TSN275-MCM;0.014289865178986566
CPT-GREYCBD1-TSN641-SAEON;0.02193747094374699
CPT-GREYCBD1-TSN490-CPGR;0.006688749418874915
CPT-GREYCBD1-TSN4-CPUTCPT;0.005596234309623456
CPT-GREYCBD1-TSN276-CPUTOPT;6.392375639237563e-05
CPT-GREYCBD1-TSN163-UCT-HID;0.01718967921896788
CPT-GREYCBD1-TSN277-CPUTB;0.002638307763830789
CPT-GREYSS2-TSN271-UCTRBG;0.008188052068805208
CPT-GREYSS2-TSN800-UWC-CASAS;0.0
CPT-GREYSS2-TSN168-UCTRCCH;3.486750348675035e-05
CPT-GREYSS2-TSN167-UCTRMH;3.486750348675035e-05
JNB5-TSN249;0.00798465829846583
SDT-TSN535-UCT-GSB;0.0
JNB1-PE1;0.10225079817130041
NC-SKA-TSN239-LOS;0.00798465829846583
NC-SKA-TSN238-KLE;0.02381450488145049
LOS-TSN239-SKA-LOS-PE;0.0
KLE-TSN238-SKA-KLE-PE;0.0
CPT5-PE1;0.01341352859135286
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;0.0
CPT8-PE1;0.00021501627150162723
CPT-GREYSS1-TSN804-SKAO-BRP;0.0
PTA-TSN15-HARTRAO;0.0
HLA1-PE1;0.00798465829846583
PTA-GREYS1-TSN301-DST;0.0
PTA-GREYS1-TSN30-NRF;0.0
PTA-GREYS2-TSN158-TUT-ARCADIA;0.015899581589958158
PTA-GREYS2-TSN38-SAASTA;0.00798465829846583
PTA2-PE1;0.17406790307940945
PTA-GREYS2-TSN29-ZOO;3.486750348675035e-05
PTA-GREYS2-TSN410-TUT-BAE;0.0
PTA-GREYS2-TSN159-TUT-ARTS;0.0
PTA3-PE1;0.0
PTA-GREYN1-TSN184-UNISA-LTC;0.00798465829846583
PTA-GREYN1-TSN200-UNISA-SSE;0.015899581589958158
PTA-GREYN1-TSN201-UNISA-SSW;0.0
PTA-GREYN1-TSN204-UNISA-SRB;0.05442817294281729
PTA-GREYN1-TSN538-TUT-ADT;0.06192468619246862
PTA4-PE1;0.0
PTA-GREYN2-TSN282-INNHUB;0.0
MTZ1-IR1;0.3470721505064201
MTZ1-IR1-MTZ1-RR1;0.0
AMS1-IR1;0.010216137012685129
RCB1-PE1;0.0
AMS1-IR1-AMS1-PR2;0.0016193049744304966
ISD1-PE1-ISD1-RR1;0.0
LDN1-IR1-LDN1-PR1;0.0
LDN1-IR1-LDN1-PR2;0.0012696337251776584
DUR-TSN19-MUT;0.0
BFN-GREY1-TSN173-UNISAB;0.0
KIM-TSN760-SPUC;0.0
PZB-TSN534-HSRC-SW;0.0
