Node;Betweenness Centrality
5;0.49543314500941626
1;0.4740112994350283
22;0.20362523540489644
23;0.173210922787194
51;0.16629001883239175
11;0.15908662900188322
9;0.1582391713747646
21;0.14924670433145007
43;0.14844632768361582
44;0.1422316384180791
19;0.1268361581920904
41;0.125894538606403
8;0.12518832391713744
10;0.116713747645951
40;0.11177024482109228
26;0.11134651600753291
18;0.1080979284369115
45;0.10409604519774011
42;0.10018832391713749
29;0.09741054613935969
56;0.09562146892655368
20;0.0928436911487759
46;0.09223163841807909
39;0.09143126177024481
38;0.08578154425612051
28;0.08422787193973634
50;0.08319209039548021
17;0.0812617702448211
24;0.07984934086629003
48;0.07697740112994349
16;0.0696798493408663
15;0.06318267419962335
14;0.06261770244821092
13;0.0583804143126177
3;0.03333333333333333
58;0.032062146892655366
36;0.02514124293785311
32;0.01751412429378531
30;0.015536723163841809
54;0.00908662900188324
55;0.008945386064030132
49;0.00800376647834275
52;0.007627118644067797
47;0.006355932203389831
31;0.0008474576271186442
37;0.0005649717514124294
2;0.0
4;0.0
6;0.0
7;0.0
12;0.0
25;0.0
27;0.0
33;0.0
34;0.0
35;0.0
53;0.0
57;0.0
59;0.0
60;0.0
61;0.0
