Node;Closeness Centrality
MTZ1-IR1;0.30377625011771353
ISD1-PE1;0.2997551445204875
CPT1-IR1;0.2979623505939295
CPT3-PE1;0.29548816737428835
DUR3-PE1;0.29478878709647943
JNB2-PE1;0.2837090263058372
ISD1-PE2;0.2684229796298762
BFN3-PE1;0.2616560137568541
PTA1-PE1;0.2616560137568541
HLA1-PE1;0.259475546975547
CPT2-PE1;0.25866721193824
PTA2-PE1;0.2581311140896633
DUR1-PE1;0.2570655573751549
BFN1-PE1;0.25653607116017
LDN1-IR1;0.2536624491817975
CPT-TSN793-NSFAS-CBD;0.2516126516126516
CPT3-PE2;0.25009691274751517
JNB1-PE1;0.24761085993690368
ELS1-PE1;0.24638627605986657
AMS1-IR1;0.24207631204715754
BFN2-PE1;0.23746093908153013
CPT6-PE1;0.23499672178917463
ELS3-PE1;0.2345541667575566
AMS1-IR1-AMS1-PR2;0.23345503757874894
CPT9-PE1;0.23280049074441597
DUR2-PE1;0.23280049074441597
