Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;1;3;2
DBN-GREY1-TSN497-CAPRISA-DDMRI;1;2;1
DBN-GREY1-TSN151-DUTC;1;1;0
DBN-GREY1-TSN176-UNISAM;1;1;0
DBN-GREY1-TSN232-NMMS;1;1;0
CPT-GREYSS1-TSN500-CPUTSPR;1;1;1
CPT-GREYSS1-TSN145-CPUTM;1;1;1
CPT4-PE1;1;2;1
CPT1-IR1;1;1;0
TENET-TSN118-AIMS;1;2;0
CPT-GREYSS1-TSN495-UCTVH;1;1;0
CPT-GREYSS1-TSN39-SAAO;1;2;1
JNB-GREY2-TSN99-CSMI;2;1;2
JNB-GREY2-TSN42-UJBU;2;2;3
JNB3-PE1;2;1;2
JNB-GREY2-TSN42-UJBU-2;1;1;0
JNB-GREY2-TSN295-CSIR-CTF;1;2;0
JNB-GREY1-TSN110-WITSE;1;2;0
JNB-GREY1-TSN112-WITSM;1;2;1
JNB-TSN44-UJ-DF-PE;1;1;0
HMS-TSN28-SANSA;1;2;1
GRJ-TSN459-NMU-GC;2;2;2
CPT2-PE1;1;1;0
VDP-GREY2-TSN484-DFA-VDBP;1;2;2
VDP-GREY2-TSN139-NWUFAR;1;1;0
VDP1-PE1;1;1;0
CPT-GREYSS1-TSN463-DFA-PLN;1;3;1
CPT3-PE1;2;7;5
CPT1-LAB1;1;1;0
TENET-TSN470-DFA-WYN;1;2;0
TERACO-TSN462-RDB;1;2;1
SLB-TSN750-DOA-ELSEN;1;1;0
PHU-TSN247-UFSQ;1;3;3
BTH-TSN504-ARC-SGI;1;1;0
DUR3-PE1;1;1;0
WEL1-PE1;1;1;0
PTA-GREYS2-TSN499-DFASAMCOR;1;3;3
PTA-GREYS2-TSN257-SANBI;1;1;0
PTA-GREYS2-TSN260-CGS;1;1;0
PTA-GREYS2-TSN509-UP-MAMC;1;1;0
BFN2-PE1;1;5;4
BFN3-PE1;1;2;0
BFN1-PE1;1;1;0
BFN-GREY1-TSN246-UFSPSY;1;1;0
BFN-GREY1-TSN244-UFSNATH;1;1;0
JNB2-PE1;1;1;0
PTA-GREYS2-TSN40-USAF;1;2;2
PTA-GREYS2-TSN973-UNIVEN-COL;1;1;0
PTA-GREYS2-TSN261-ARC-HO-PE;1;1;0
UTW-TSN468-WSUQ;1;2;2
UTT-TSN86-WSU-NMD-PE;1;1;0
WTS-TSN467-WSUW;1;1;0
PLZ1-PE1;2;1;2
ISD1-PE1-ISD1-PR1;1;1;1
ISD1-PE1;1;1;1
CPT7-PE1;1;1;0
CPT-TSN793-NSFAS-CBD;1;1;0
CPT3-PE1-CPT3-PR1;1;1;0
