Node;Core Strength
CPT3-PE1;21
PTA1-PE1;18
PTA2-PE1;11
PZB1-PE1;8
JNB2-PE1;6
ELS1-PE1;6
DUR2-PE1;6
ZEH1-PE1;6
JNB1-PE1;6
CPT1-IR1;5
CPT2-PE1;5
VDP1-PE1;5
BFN1-PE1;5
ISD1-PE1;5
BFN2-PE1;4
UTT-TSN86-WSU-NMD-PE;4
ELS2-PE1;4
DUR1-PE1;4
POL-GREY1-TSN56-TUT-POLC;4
CPT-GREYSS1-TSN145-CPUTM;3
CPT-GREYSS1-TSN39-SAAO;3
DUR3-PE1;3
PLZ1-PE1;3
ELS3-PE1;3
