node,core_number,core_strength,core_influence,CIS
6,2.0,2.0,0.44721359549995815,
2,2.0,2.0,0.4472135954999579,
8,2.0,1.0,0.2981423969999721,
4,2.0,1.0,0.29814239699997186,
3,2.0,1.0,0.2981423969999718,
5,2.0,1.0,0.29814239699997175,
15,1.0,1.0,0.14907119849998612,
17,1.0,1.0,0.14907119849998612,
16,1.0,1.0,0.1490711984999861,
9,1.0,1.0,0.14907119849998607,
10,1.0,1.0,0.14907119849998607,
13,1.0,1.0,0.14907119849998607,
14,1.0,1.0,0.14907119849998604,
1,1.0,1.0,0.149071198499986,
7,1.0,1.0,0.14907119849998599,
11,1.0,1.0,0.14907119849998599,
12,1.0,1.0,0.14907119849998596,
