Node;Betweeness Centrality
2;0.016666666666666666
4;0.016666666666666666
6;0.016666666666666666
7;0.016666666666666666
12;0.016666666666666666
25;0.016666666666666666
53;0.016666666666666666
59;0.016666666666666666
3;0.03333333333333333
8;0.03333333333333333
10;0.03333333333333333
11;0.03333333333333333
13;0.03333333333333333
14;0.03333333333333333
15;0.03333333333333333
16;0.03333333333333333
17;0.03333333333333333
18;0.03333333333333333
19;0.03333333333333333
20;0.03333333333333333
21;0.03333333333333333
23;0.03333333333333333
24;0.03333333333333333
27;0.03333333333333333
30;0.03333333333333333
31;0.03333333333333333
33;0.03333333333333333
