Node;Core Influences
12;0.047457899787622694
25;0.04745789978762313
4;0.04745789978762381
53;0.04745789978762493
7;0.0474578997876255
6;0.047457899787625504
59;0.04745789978762553
2;0.047457899787625546
10;0.09491579957524415
8;0.09491579957524462
27;0.09491579957524524
9;0.09491579957524598
47;0.09491579957524704
49;0.09491579957524707
17;0.09491579957524732
11;0.09491579957524775
48;0.09491579957524776
38;0.09491579957524798
50;0.09491579957524829
3;0.09491579957524834
39;0.09491579957524846
42;0.09491579957524865
15;0.0949157995752487
46;0.09491579957524876
45;0.09491579957524925
40;0.09491579957524927
23;0.09491579957524943
54;0.09491579957524948
55;0.0949157995752495
44;0.09491579957524979
41;0.09491579957525015
58;0.09491579957525023
57;0.09491579957525031
13;0.09491579957525034
43;0.09491579957525041
36;0.0949157995752509
61;0.09491579957525105
60;0.09491579957525109
37;0.09491579957525113
52;0.09491579957525123
33;0.09491579957525134
35;0.09491579957525148
34;0.09491579957525152
30;0.09491579957525176
14;0.09491579957525194
21;0.09491579957525195
31;0.09491579957525201
19;0.09491579957525273
16;0.09491579957525316
18;0.09491579957525328
20;0.09491579957525367
24;0.09491579957525378
26;0.14237369936286723
29;0.1423736993628706
28;0.14237369936287073
56;0.1423736993628749
51;0.14237369936287647
32;0.14237369936287733
22;0.2372894989381153
1;0.4271210980886294
5;0.474578997876255
