Node;Degree Centrality
5;0.21666666666666667
1;0.16666666666666666
22;0.1
56;0.06666666666666667
9;0.05
26;0.05
28;0.05
29;0.05
32;0.05
44;0.05
51;0.05
3;0.03333333333333333
8;0.03333333333333333
10;0.03333333333333333
11;0.03333333333333333
13;0.03333333333333333
14;0.03333333333333333
15;0.03333333333333333
16;0.03333333333333333
17;0.03333333333333333
18;0.03333333333333333
19;0.03333333333333333
20;0.03333333333333333
21;0.03333333333333333
23;0.03333333333333333
24;0.03333333333333333
27;0.03333333333333333
