Node;Betweeness Centrality
1;0.5512544802867383
2;0.0
3;0.3698924731182795
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.0
10;0.23691756272401435
11;0.0
12;0.0
13;0.0
14;0.0
15;0.0
16;0.29175627240143376
17;0.008243727598566307
18;0.021863799283154118
19;0.04659498207885304
20;0.07849462365591398
21;0.10501792114695338
22;0.0
23;0.0035842293906810036
24;0.12365591397849464
25;0.02652329749103943
26;0.0
27;0.03942652329749104
28;0.04946236559139785
29;0.002150537634408602
30;0.012903225806451613
31;0.07096774193548387
32;0.0
