Node;Core Strength
60;0.04188539082916948
61;0.041885390829169485
47;0.04188539082916952
59;0.04188539082916952
2;0.04188539082916955
4;0.04188539082916958
58;0.04188539082916959
69;0.0418853908291696
67;0.04188539082916961
64;0.041885390829169616
66;0.041885390829169616
65;0.04188539082916962
68;0.04188539082916963
39;0.04188539082916984
32;0.04188539082917036
35;0.041885390829170414
20;0.08377078165833425
27;0.08377078165833439
23;0.08377078165833558
25;0.08377078165833587
24;0.08377078165833711
26;0.08377078165833807
55;0.0837707816583383
52;0.08377078165833839
56;0.08377078165833839
51;0.08377078165833846
54;0.08377078165833858
53;0.08377078165833861
45;0.08377078165833884
50;0.08377078165833884
63;0.08377078165833897
