Node;Core Influences
PTA-GREYN1-TSN391-TUT-KOSMOS;0.0424571995072324
PTA-GREYS2-TSN29-ZOO;0.042457199507232195
PTA-GREYN1-TSN161-TUT-SOSN;0.04245719950723219
PTA-GREYS2-TSN299-ARCIAE;0.042457199507230765
PTA-GREYS2-TSN410-TUT-BAE;0.042457199507228614
PTA-GREYN1-TSN203-UNISA-SN;0.04245719950722825
PTA-GREYN1-TSN162-TUT-SOSS;0.042457199507227844
PTA-GREYS2-TSN16-HSRC-MC;0.04245719950722503
PTA-GREYS2-TSN499-DFASAMCOR;0.04245719950722374
PTA-GREYN1-TSN204-UNISA-SRB;0.042457199507223514
PTA-GREYN1-TSN75-UPO;0.04245719950722309
PTA-GREYS2-TSN355-TUT-LEGAE;0.04245719950722114
CPT-GREYBEL1-TSN278-UWCT;0.04245719950721871
CPT-GREYBEL1-TSN208-USTYG;0.04245719950721865
CPT-GREYBEL1-TSN487-MRCN;0.04245719950721842
PTA-GREYN1-TSN538-TUT-ADT;0.04245719950721838
CPT-GREYBEL1-TSN174-UNIBEL;0.04245719950721821
PTA-GREYS2-TSN257-SANBI;0.04245719950721817
CPT-GREYCBD1-TSN276-CPUTOPT;0.042457199507218074
CPT-GREYCBD1-TSN277-CPUTB;0.042457199507217935
CPT-GREYBEL1-TSN812-UWC-DIH;0.04245719950721793
PTA-GREYN1-TSN298-ARCOVI;0.04245719950721784
CPT-GREYCBD1-TSN490-CPGR;0.042457199507217276
CPT-GREYBEL1-TSN585-UWC-FCHS;0.04245719950721692
CPT-GREYSLB1-TSN79-SUN;0.04245719950721667
CPT-GREYBEL1-TSN493-CGSB;0.04245719950721657
PTA-GREYS2-TSN660-NSF-NDI;0.042457199507216346
CPT-GREYCBD1-TSN275-MCM;0.042457199507216305
CPT-GREYBEL1-TSN34-CPUTB;0.0424571995072163
CPT-GREYCBD1-TSN650-NLSA-CFB;0.042457199507216214
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;0.04245719950721563
PTA-GREYS2-TSN38-SAASTA;0.04245719950721546
CPT-GREYCBD1-TSN641-SAEON;0.04245719950721505
CPT-GREYSS1-TSN144-CPUTGSH;0.04245719950721497
CPT-GREYSS1-TSN145-CPUTM;0.04245719950721493
CPT-GREYSS1-TSN273-CPUTGSR;0.042457199507214875
CPT-GREYSS1-TSN768-UCTCAN;0.042457199507214764
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;0.04245719950721463
JNB-GREY1-TSN110-WITSE;0.04245719950721462
JNB-GREY1-TSN112-WITSM;0.0424571995072146
JNB-GREY2-TSN295-CSIR-CTF;0.0424571995072145
NC-SKA-TSN239-LOS;0.04245719950721444
CPT-GREYSS1-TSN804-SKAO-BRP;0.042457199507214424
PTA-GREYS2-TSN158-TUT-ARCADIA;0.042457199507214334
PZB-GREY1-TSN384-SANBIP;0.04245719950721397
PZB-GREY1-TSN383-DUTI;0.042457199507213925
BFN-GREY1-TSN245-UFSPELH;0.0424571995072139
BTH-TSN504-ARC-SGI;0.04245719950721388
JNB-GREY1-TSN690-NHLS-BRAAM;0.042457199507213876
DBN-GREY1-TSN132-MRC;0.04245719950721386
JNB-GREY2-TSN99-CSMI;0.04245719950721384
DBN-GREY1-TSN662-CAPRISA-KDH;0.042457199507213834
BFN-GREY1-TSN244-UFSNATH;0.04245719950721383
JNB-GREY2-TSN659-WITS-CLMDC;0.04245719950721383
BFN-GREY1-TSN242-UFSSC;0.0424571995072138
CPT-GREYSS2-TSN168-UCTRCCH;0.0424571995072138
CPT8-PE1;0.0424571995072138
KRO-TSN182-UNISAKRO;0.04245719950721379
PZB-GREY1-TSN10-DUTRC;0.042457199507213765
CPT-GREYSS2-TSN167-UCTRMH;0.04245719950721376
CPT-GREYSS2-TSN800-UWC-CASAS;0.04245719950721373
CPT-GREYSS2-TSN788-UCTSHAW;0.04245719950721373
DBN-GREY1-TSN150-DUTB;0.04245719950721372
TENET-TSN470-DFA-WYN;0.0424571995072137
DBN-GREY1-TSN97-CSIR;0.0424571995072137
DBN-GREY1-TSN232-NMMS;0.04245719950721367
