Node;Betweeness Centrality
1;0.4740112994350283
2;0.0
3;0.03333333333333333
4;0.0
5;0.49543314500941626
6;0.0
7;0.0
8;0.12518832391713744
9;0.1582391713747646
10;0.116713747645951
11;0.15908662900188322
12;0.0
13;0.0583804143126177
14;0.06261770244821092
15;0.06318267419962335
16;0.0696798493408663
17;0.0812617702448211
18;0.1080979284369115
19;0.1268361581920904
20;0.0928436911487759
21;0.14924670433145007
22;0.20362523540489644
23;0.173210922787194
24;0.07984934086629003
25;0.0
26;0.11134651600753291
27;0.0
28;0.08422787193973634
29;0.09741054613935969
30;0.015536723163841809
31;0.0008474576271186442
32;0.01751412429378531
33;0.0
34;0.0
35;0.0
36;0.02514124293785311
37;0.0005649717514124294
38;0.08578154425612051
39;0.09143126177024481
40;0.11177024482109228
41;0.125894538606403
42;0.10018832391713749
43;0.14844632768361582
44;0.1422316384180791
45;0.10409604519774011
46;0.09223163841807909
47;0.006355932203389831
48;0.07697740112994349
49;0.00800376647834275
50;0.08319209039548021
51;0.16629001883239175
52;0.007627118644067797
53;0.0
54;0.00908662900188324
55;0.008945386064030132
56;0.09562146892655368
57;0.0
58;0.032062146892655366
59;0.0
60;0.0
61;0.0
