Node;Betweeness Centrality
2;0.014705882352941176
4;0.014705882352941176
32;0.014705882352941176
35;0.014705882352941176
39;0.014705882352941176
47;0.014705882352941176
58;0.014705882352941176
59;0.014705882352941176
60;0.014705882352941176
61;0.014705882352941176
64;0.014705882352941176
65;0.014705882352941176
66;0.014705882352941176
67;0.014705882352941176
68;0.014705882352941176
69;0.014705882352941176
6;0.029411764705882353
7;0.029411764705882353
9;0.029411764705882353
11;0.029411764705882353
13;0.029411764705882353
15;0.029411764705882353
16;0.029411764705882353
17;0.029411764705882353
20;0.029411764705882353
23;0.029411764705882353
24;0.029411764705882353
25;0.029411764705882353
26;0.029411764705882353
27;0.029411764705882353
28;0.029411764705882353
