Node;Core Number;Core Strength;Core Influence
1;1;1;0.14907119849998632
2;2;2;0.44721359549995743
3;2;1;0.2981423969999718
4;2;1;0.29814239699997164
5;2;1;0.2981423969999718
6;2;2;0.44721359549995826
7;1;1;0.14907119849998623
8;2;1;0.2981423969999721
9;1;1;0.14907119849998637
10;1;1;0.14907119849998618
11;1;1;0.14907119849998637
12;1;1;0.14907119849998646
13;1;1;0.14907119849998607
14;1;1;0.14907119849998568
15;1;1;0.14907119849998582
16;1;1;0.149071198499986
17;1;1;0.1490711984999858
1;1;1;0.14907119849998574
2;2;2;0.44721359549995804
3;2;1;0.2981423969999722
4;2;1;0.2981423969999727
5;2;1;0.29814239699997236
6;2;2;0.4472135954999579
7;1;1;0.14907119849998576
8;2;1;0.29814239699997175
9;1;1;0.14907119849998587
10;1;1;0.14907119849998587
11;1;1;0.1490711984999859
12;1;1;0.14907119849998574
13;1;1;0.14907119849998562
14;1;1;0.14907119849998576
15;1;1;0.14907119849998585
16;1;1;0.14907119849998587
17;1;1;0.1490711984999859
1;1;1;0.14907119849998574
2;2;2;0.44721359549995804
3;2;1;0.2981423969999722
4;2;1;0.2981423969999727
5;2;1;0.29814239699997236
6;2;2;0.4472135954999579
7;1;1;0.14907119849998576
8;2;1;0.29814239699997175
9;1;1;0.14907119849998587
10;1;1;0.14907119849998587
11;1;1;0.1490711984999859
12;1;1;0.14907119849998574
13;1;1;0.14907119849998562
14;1;1;0.14907119849998576
15;1;1;0.14907119849998585
16;1;1;0.14907119849998587
17;1;1;0.1490711984999859
