Node;Degree Centrality
BLOEM;0.009174311926605505
CPT-GREYBEL1-TSN278-UWCT;0.009174311926605505
CPT-GREYBEL1-TSN487-MRCN;0.009174311926605505
CPT-GREYBEL1-TSN174-UNIBEL;0.009174311926605505
CPT-GREYBEL1-TSN812-UWC-DIH;0.009174311926605505
CPT-GREYBEL1-TSN585-UWC-FCHS;0.009174311926605505
CPT-GREYBEL1-TSN208-USTYG;0.009174311926605505
CPT-GREYBEL1-TSN34-CPUTB;0.009174311926605505
CPT-GREYBEL1-TSN493-CGSB;0.009174311926605505
CPT-GREYCBD1-TSN277-CPUTB;0.009174311926605505
CPT-GREYCBD1-TSN650-NLSA-CFB;0.009174311926605505
CPT-GREYCBD1-TSN275-MCM;0.009174311926605505
CPT-GREYCBD1-TSN490-CPGR;0.009174311926605505
CPT-GREYCBD1-TSN641-SAEON;0.009174311926605505
CPT-GREYCBD1-TSN276-CPUTOPT;0.009174311926605505
CPT-GREYCBD2-TSN109-SANAP;0.009174311926605505
CPT-GREYCBD2-TSN143-CPUTGB;0.009174311926605505
CPT-GREYCBD2-TSN164-UCTBS;0.009174311926605505
CPT-GREYCBD2-TSN215-HSRCCPT;0.009174311926605505
CPT-GREYSLB1-TSN235-ILABS-FAURE;0.009174311926605505
CPT-GREYSS1-TSN144-CPUTGSH;0.009174311926605505
CPT-GREYSS1-TSN273-CPUTGSR;0.009174311926605505
CPT-GREYSS1-TSN768-UCTCAN;0.009174311926605505
CPT-GREYSS1-TSN169-UCTRHR;0.009174311926605505
CPT-GREYSS1-TSN804-SKAO-BRP;0.009174311926605505
CPT-GREYSS1-TSN272-UCTDOR;0.009174311926605505
CPT-GREYSS1-TSN463-DFA-PLN;0.009174311926605505
CPT-GREYSS2-TSN788-UCTSHAW;0.009174311926605505
CPT-GREYSS2-TSN167-UCTRMH;0.009174311926605505
CPT-GREYSS2-TSN168-UCTRCCH;0.009174311926605505
CPT-GREYSS2-TSN170-UCTSSI;0.009174311926605505
CPT-GREYSS2-TSN270-UCTGSR;0.009174311926605505
CPT-GREYSS2-TSN271-UCTRBG;0.009174311926605505
CPT-GREYSS2-TSN800-UWC-CASAS;0.009174311926605505
CPT-TSN793-NSFAS-CBD;0.009174311926605505
CPT8;0.009174311926605505
DBN-GREY1-TSN11-DUTS;0.009174311926605505
DBN-GREY1-TSN375-SANBI;0.009174311926605505
DBN-GREY1-TSN13-CAO;0.009174311926605505
DBN-GREY1-TSN132-MRC;0.009174311926605505
DBN-GREY1-TSN150-DUTB;0.009174311926605505
DBN-GREY1-TSN662-CAPRISA-KDH;0.009174311926605505
DBN-GREY1-TSN151-DUTC;0.009174311926605505
DBN-GREY1-TSN176-UNISAM;0.009174311926605505
DBN-GREY1-TSN498-CAPRISA-ECRS;0.009174311926605505
