Node;Betweenness Centrality
CPT-GREYSS1-TSN273-CPUTGSR;0.004350703254843713
JNB-GREY2-TSN295-CSIR-CTF;0.0040470712455705155
POL-GREY1-TSN56-TUT-POLC;0.0035971223021582736
PTA-GREYS3-TSN403-ASSAF;0.003589632134538145
PZB-GREY1-TSN193-UNISAP;0.0035885270278400933
PTA-GREYN2-TSN141-UPGC;0.003578826646823863
PTA-GREYN2-TSN254-UP-HILL-PE;0.0035767392230608755
CPT4-PE1;0.0035733420432113093
VDP-GREY2-TSN484-DFA-VDBP;0.003571336479203734
VDP-GREY2-TSN598-VUT-EMF;0.003571336479203734
NC-SKA-TSN238-KLE;0.003571336479203734
LOS-TSN239-SKA-LOS-PE;0.003571336479203734
TENET-TSN470-DFA-WYN;0.003569330915196158
POL-GREY1-TSN194-UNISA-PLIB;0.003558443567726464
PZB-GREY1-TSN383-DUTI;0.003554145930567374
DBN-GREY1-TSN375-SANBI;0.003541253019090104
RCB1-PE1;0.0035029119561493655
PTA-GREYS2-TSN262-ARCISCW;0.00326301171044731
JNB-GREY1-TSN112-WITSM;0.003168661544541492
CPT-GREYSS2-TSN165-UCTLGR;0.003081857645948314
DBN-GREY1-TSN231-UKZNW-PE;0.002903227852945503
PTA-GREYN1-TSN201-UNISA-SSW;0.0028880121709084347
UTW-TSN468-WSUQ;0.0027222922123131
BFN-GREY1-TSN244-UFSNATH;0.002533303618242119
LAB-PTA-IXR;0.00238089098613582
CPT-GREYCBD1-TSN277-CPUTB;0.0023722957118176573
LAB-PTA-SAST;0.0023722957118176404
LAB-PTA-MX204;0.0023722957118176404
PLZ2-PE1;0.002111188937188044
GRJ-TSN459-NMU-GC;0.0017860705372156308
CPT7-PE1;0.0017212071295180517
CPT-GREYSS2-TSN270-UCTGSR;0.0017126118551998716
ELS-GREY1-TSN108-WSU-CHS;0.0016904282595814049
BTH-TSN504-ARC-SGI;0.0015812030355234472
DBN-GREY1-TSN132-MRC;0.0015321792745015457
SDT-TSN535-UCT-GSB;0.0013291670810816787
DBN-GREY1-TSN232-NMMS;0.0013027225876301432
KIM-TSN760-SPUC;0.001274883830774599
AMS1-IR1-AMS1-PR2;0.0012528226266912738
LDN1-IR1-LDN1-PR2;0.0010266134250817474
CPT-TENET-LAB-ALU-1;0.0008741470357915734
CPT-GREYBEL1-TSN812-UWC-DIH;0.0007304141325956142
CPT-GREYBEL1-TSN174-UNIBEL;0.0006915008384800295
UTE-TSN12-WSU-B-PE;0.0005351814066132933
KRO-TSN182-UNISAKRO;0.0004144354767082392
PTA-GREYS2-TSN660-NSF-NDI;0.0003223227869317449
JNB-GREY2-TSN42-UJBU-2;0.00031802514977265494
KIM-TSN345-SPU-NC-PE;0.0002777706150491793
WTS-TSN467-WSUW;0.0002763408600029626
ALC-TSN64-UFHA;0.0002273757031241367
GRH1-PE2;0.0002273757031241367
CPT-GREYSS1-TSN144-CPUTGSH;0.00021917949511358656
CPT-GREYCBD2-TSN109-SANAP;0.00021917949511358656
PTA-GREYS2-TSN300-DAFF;0.00021917949511358656
CPT-GREYSS2-TSN167-UCTRMH;0.00021660091281813256
CPT-GREYBEL1-TSN585-UWC-FCHS;0.00021058422079540669
PTA-TSN377-ARC-IRENE-PE;0.0002019889464772268
CPT-GREYBEL1-TSN208-USTYG;0.00018050076068177717
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;0.00017577335980677826
CPT-GREYSS2-TSN271-UCTRBG;0.00016502926690905345
DBN-GREY1-TSN150-DUTB;0.0001650292669090534
HMS-TSN28-SANSA;0.00015213635543178365
HLA1-TSN294-NECSA-1;0.00012892911477269798
TLP-TSN83-UL-TLP-PE;0.00012892911477269798
CPT-GREYSS2-TSN788-UCTSHAW;0.00011345762099997423
DBN-GREY1-TSN497-CAPRISA-DDMRI;0.00010314329181815838
CPT-TENET-LAB-ALU-2;0.00010314329181815838
PTA-GREYS3-TSN250-TIAMHO;9.884565465906844e-05
JNB-GREY1-TSN110-WITSE;9.884565465906843e-05
NLP-TSN946-UMP-DC1-PE;9.025038034088858e-05
CPT-GREYBEL1-TSN487-MRCN;7.305983170452885e-05
DBN-GREY1-TSN366-UKZNE-PE;7.091101312498389e-05
ELS-GREY1-TSN177-UNISAE;6.446455738634897e-05
CPT-GREYCBD1-TSN276-CPUTOPT;4.7274008749989253e-05
JNB-TSN76-UNISA-FLORIDA-PE;4.297637159089932e-05
PTA-GREYN2-TSN395-TUT-ZET;3.867873443180939e-05
DBN-GREY1-TSN11-DUTS;3.4381097272719456e-05
TENET-TSN118-AIMS;2.5785822954539595e-05
BFN-GREY1-TSN245-UFSPELH;2.5785822954539595e-05
CPT-GREYBEL1-TSN493-CGSB;2.5785822954539595e-05
CPT-GREYBEL1-TSN278-UWCT;2.5785822954539595e-05
CPT-GREYCBD2-TSN143-CPUTGB;2.5785822954539595e-05
CPT-GREYSS2-TSN168-UCTRCCH;2.5785822954539595e-05
PTA-GREYS2-TSN38-SAASTA;2.5785822954539595e-05
JNB-TSN949-GIBS-NORTH;2.5785822954539595e-05
PZB-GREY1-TSN385-CGSP;2.148818579544966e-05
VDP-GREY2-TSN139-NWUFAR;1.2892911477269798e-05
PZB-GREY1-TSN384-SANBIP;1.2892911477269798e-05
NC-SKA-TSN239-LOS;8.595274318179864e-06
KLE-TSN238-SKA-KLE-PE;8.595274318179864e-06
LAB-PTA-SAS-SX;8.595274318179864e-06
CPT-GREYSS1-TSN500-CPUTSPR;0.0
CPT-GREYSS1-TSN495-UCTVH;0.0
JNB-GREY2-TSN99-CSMI;0.0
SLB-TSN750-DOA-ELSEN;0.0
PTA-GREYS2-TSN509-UP-MAMC;0.0
BFN-GREY1-TSN246-UFSPSY;0.0
ISD1-PE1-ISD1-PR1;0.0
CPT-TSN793-NSFAS-CBD;0.0
CPT3-PE1-CPT3-PR1;0.0
CPT3-PE1-CPT3-PR2;0.0
NC-SAAO-TSN91-SUTH;0.0
SMT-TSN590-IMT;0.0
CPT-TSN943-DHA-WYNBERG;0.0
PZB-GREY1-TSN10-DUTRC;0.0
ELS-GREY1-TSN393-WSU-CAM;0.0
PTA-GREYN1-TSN354-TUT-MONITOR;0.0
PTA-CSIR-SCALAB;0.0
DBN-GREY1-TSN13-CAO;0.0
ZEE1-OR1;0.0
RCB-TSN20-AHRI-SOM-1;0.0
VDP-GREY1-TSN90-VUTMC;0.0
CPT-GREYSLB1-TSN292-ARCINFR;0.0
PTD-TSN216-WSU-PTD-PE;0.0
LCD-TSN186-UNISAM;0.0
MFK-TSN32-NWUM;0.0
ZEH-TSN938-DHA-POTCH;0.0
PTA-GREYS3-TSN8-CHE;0.0
PTA-GREYS2-TSN299-ARCIAE;0.0
PTA-CSIR-TWR;0.0
CPT-GREYCBD1-TSN650-NLSA-CFB;0.0
CPT-GREYSS2-TSN800-UWC-CASAS;0.0
CPT8-PE1;0.0
CPT-GREYSS1-TSN804-SKAO-BRP;0.0
PTA-TSN15-HARTRAO;0.0
PTA-GREYS1-TSN301-DST;0.0
PTA-GREYS1-TSN30-NRF;0.0
PTA3-PE1;0.0
PTA4-PE1;0.0
