1;2;3;0.5601120336112042
2;1;1;0.14002800840280116
3;1;1;0.140028008402801
4;2;1;0.28005601680560155
5;2;2;0.4200840252084025
6;2;2;0.4200840252084027
7;2;1;0.2800560168056026
8;2;1;0.28005601680560244
9;1;1;0.1400280084028007
10;1;1;0.14002800840280075
11;1;1;0.14002800840280083
