Node;Closeness Centrality
18;0.23853211009174313
14;0.24299065420560748
3;0.2826086956521739
10;0.28888888888888886
17;0.28888888888888886
9;0.29545454545454547
12;0.29545454545454547
6;0.3466666666666667
20;0.3466666666666667
7;0.35135135135135137
2;0.3561643835616438
5;0.3561643835616438
24;0.3561643835616438
25;0.3561643835616438
26;0.3561643835616438
27;0.3561643835616438
19;0.36619718309859156
16;0.37142857142857144
4;0.37681159420289856
11;0.37681159420289856
13;0.37681159420289856
21;0.3880597014925373
23;0.3880597014925373
22;0.40625
8;0.5
15;0.52
1;0.5416666666666666
