Node;Closenss Centrality
2;0.0
4;0.0
6;0.0
7;0.0
12;0.0
25;0.0
27;0.0
33;0.0
34;0.0
35;0.0
53;0.0
57;0.0
59;0.0
60;0.0
61;0.0
37;0.0005649717514124294
31;0.0008474576271186442
47;0.006355932203389831
52;0.007627118644067797
49;0.00800376647834275
55;0.008945386064030132
54;0.00908662900188324
30;0.015536723163841809
32;0.01751412429378531
36;0.02514124293785311
58;0.032062146892655366
3;0.03333333333333333
