Node;Core Number
2;1
3;1
4;1
6;1
7;1
12;1
25;1
53;1
59;1
1;2
5;2
8;2
9;2
10;2
11;2
13;2
14;2
15;2
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;2
24;2
