Node;Closeness Centrality
5;0.25862068965517243
1;0.2553191489361702
23;0.22900763358778625
60;0.22727272727272727
61;0.22727272727272727
51;0.22556390977443608
43;0.22388059701492538
21;0.21660649819494585
56;0.21052631578947367
11;0.20905923344947736
32;0.20905923344947736
58;0.20905923344947736
33;0.20761245674740483
57;0.20761245674740483
34;0.20689655172413793
35;0.20689655172413793
6;0.20618556701030927
7;0.20618556701030927
30;0.20618556701030927
36;0.20618556701030927
59;0.20618556701030927
2;0.20408163265306123
41;0.2033898305084746
44;0.2033898305084746
9;0.19480519480519481
19;0.18867924528301888
31;0.18867924528301888
