Node;Core Influences
3;0.41885390829169517
1;0.3769685174625262
44;0.3350831266333566
10;0.20942695414584764
8;0.1675415633166784
14;0.16754156331667838
12;0.1675415633166782
49;0.16754156331667813
5;0.1256561724875089
62;0.12565617248750877
33;0.12565617248750874
48;0.1256561724875086
21;0.12565617248750854
18;0.12565617248750827
22;0.12565617248750813
19;0.12565617248750796
17;0.0837707816583395
37;0.0837707816583395
40;0.08377078165833947
16;0.08377078165833941
36;0.08377078165833941
24;0.08377078165833939
42;0.08377078165833933
26;0.08377078165833932
25;0.0837707816583393
43;0.08377078165833927
29;0.08377078165833926
38;0.08377078165833926
13;0.08377078165833925
30;0.08377078165833923
41;0.08377078165833922
28;0.0837707816583392
7;0.08377078165833919
31;0.08377078165833919
57;0.08377078165833918
45;0.08377078165833916
50;0.08377078165833914
63;0.08377078165833914
34;0.08377078165833911
46;0.08377078165833905
56;0.08377078165833905
11;0.08377078165833904
51;0.08377078165833904
52;0.08377078165833902
6;0.08377078165833897
55;0.08377078165833896
53;0.08377078165833894
9;0.08377078165833893
27;0.08377078165833893
54;0.0837707816583389
20;0.08377078165833887
15;0.08377078165833879
23;0.0837707816583386
39;0.04188539082916979
35;0.041885390829169644
47;0.04188539082916963
60;0.04188539082916963
59;0.0418853908291696
61;0.041885390829169596
2;0.04188539082916959
32;0.04188539082916958
69;0.04188539082916953
65;0.04188539082916951
64;0.04188539082916949
68;0.041885390829169485
4;0.04188539082916947
58;0.04188539082916946
66;0.041885390829169436
67;0.041885390829169394
