Node;Core Strengths
DBN-GREY1-TSN497-CAPRISA-DDMRI;1
DBN-GREY1-TSN232-NMMS;1
CPT-GREYSS1-TSN500-CPUTSPR;1
CPT-GREYSS1-TSN145-CPUTM;1
CPT4-PE1;1
TENET-TSN118-AIMS;1
CPT-GREYSS1-TSN495-UCTVH;1
JNB-GREY2-TSN99-CSMI;1
JNB-GREY2-TSN295-CSIR-CTF;1
JNB-GREY1-TSN110-WITSE;1
JNB-GREY1-TSN112-WITSM;1
HMS-TSN28-SANSA;1
VDP-GREY2-TSN484-DFA-VDBP;1
VDP-GREY2-TSN139-NWUFAR;1
TENET-TSN470-DFA-WYN;1
SLB-TSN750-DOA-ELSEN;1
BTH-TSN504-ARC-SGI;1
PTA-GREYS2-TSN499-DFASAMCOR;1
PTA-GREYS2-TSN257-SANBI;1
PTA-GREYS2-TSN509-UP-MAMC;1
BFN2-PE1;1
BFN-GREY1-TSN246-UFSPSY;1
BFN-GREY1-TSN244-UFSNATH;1
PTA-GREYS2-TSN40-USAF;1
UTW-TSN468-WSUQ;1
WTS-TSN467-WSUW;1
ISD1-PE1-ISD1-PR1;1
CPT-TSN793-NSFAS-CBD;1
CPT3-PE1-CPT3-PR1;1
CPT3-PE1-CPT3-PR2;1
NC-SAAO-TSN91-SUTH;1
SMT-TSN590-IMT;1
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;1
CPT-GREYSS2-TSN170-UCTSSI;1
CPT-GREYSS2-TSN270-UCTGSR;1
CPT-TSN943-DHA-WYNBERG;1
PZB-GREY1-TSN383-DUTI;1
PZB-GREY1-TSN384-SANBIP;1
PZB-GREY1-TSN10-DUTRC;1
BFN-GREY1-TSN242-UFSSC;1
BFN-GREY1-TSN245-UFSPELH;1
ELS-GREY1-TSN108-WSU-CHS;1
ELS3-PE1;1
ELS-GREY1-TSN177-UNISAE;1
ELS-GREY1-TSN393-WSU-CAM;1
ELS1-PE1;1
PTA-GREYN2-TSN395-TUT-ZET;1
PTA-GREYN2-TSN141-UPGC;1
PTA-GREYN1-TSN354-TUT-MONITOR;1
PTA-GREYN1-TSN391-TUT-KOSMOS;1
PTA-GREYN1-TSN203-UNISA-SN;1
PTA-GREYN1-TSN353-TUT-TEMPO;1
PTA-GREYN1-TSN315-BREYTEN;1
PTA-GREYN1-TSN161-TUT-SOSN;1
PTA-GREYN1-TSN162-TUT-SOSS;1
PTA-GREYN1-TSN49-TUT-ERC-GAR;1
PTA-CSIR-SCALAB;1
PTA1-PE1;1
KRO-TSN182-UNISAKRO;1
VDP-GREY2-TSN598-VUT-EMF;1
CPT-GREYBEL1-TSN493-CGSB;1
CPT-GREYBEL1-TSN585-UWC-FCHS;1
CPT-GREYBEL1-TSN34-CPUTB;1
DBN-GREY1-TSN375-SANBI;1
DBN-GREY1-TSN11-DUTS;1
DBN-GREY1-TSN150-DUTB;1
DBN-GREY1-TSN132-MRC;1
DBN-GREY1-TSN662-CAPRISA-KDH;1
DBN-GREY1-TSN13-CAO;1
DBN-GREY1-TSN97-CSIR;1
ZEE1-OR1;1
RCB-TSN20-AHRI-SOM-1;1
RCB-TSN116-UZ-RCB-PE;1
VDP-GREY1-TSN90-VUTMC;1
CPT-GREYSLB1-TSN292-ARCINFR;1
CPT-GREYSLB1-TSN79-SUN;1
PTD-TSN216-WSU-PTD-PE;1
UTE-TSN12-WSU-B-PE;1
PTA-GREYS3-TSN250-TIAMHO;1
LCD-TSN186-UNISAM;1
ALC-TSN64-UFHA;1
GRH1-PE2;1
MFK-TSN32-NWUM;1
MFK1-PE1;1
KIM-TSN345-SPU-NC-PE;1
ZEH-TSN938-DHA-POTCH;1
PTA-GREYS3-TSN8-CHE;1
PTA-GREYS2-TSN299-ARCIAE;1
PTA-GREYN1-TSN298-ARCOVI;1
PTA-GREYN1-TSN75-UPO;1
PTA-CSIR-TWR;1
CPT-GREYSS1-TSN144-CPUTGSH;1
CPT-GREYSS1-TSN273-CPUTGSR;1
CPT-GREYSS1-TSN768-UCTCAN;1
CPT-GREYBEL1-TSN174-UNIBEL;1
CPT-GREYBEL1-TSN812-UWC-DIH;1
CPT-GREYBEL1-TSN278-UWCT;1
CPT-GREYBEL1-TSN208-USTYG;1
CPT-GREYBEL1-TSN487-MRCN;1
CPT-GREYCBD1-TSN650-NLSA-CFB;1
CPT-GREYCBD2-TSN143-CPUTGB;1
CPT-GREYCBD2-TSN109-SANAP;1
CPT-GREYCBD2-TSN215-HSRCCPT;1
CPT-GREYCBD1-TSN275-MCM;1
CPT-GREYCBD1-TSN641-SAEON;1
CPT-GREYCBD1-TSN490-CPGR;1
CPT-GREYCBD1-TSN276-CPUTOPT;1
CPT-GREYCBD1-TSN277-CPUTB;1
CPT-GREYSS2-TSN800-UWC-CASAS;1
CPT-GREYSS2-TSN168-UCTRCCH;1
CPT-GREYSS2-TSN167-UCTRMH;1
SDT-TSN535-UCT-GSB;1
NC-SKA-TSN239-LOS;1
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;1
CPT8-PE1;1
CPT-GREYSS1-TSN804-SKAO-BRP;1
PTA-TSN15-HARTRAO;1
HLA1-PE1;1
PTA-GREYS1-TSN301-DST;1
PTA-GREYS1-TSN30-NRF;1
PTA-GREYS2-TSN158-TUT-ARCADIA;1
PTA-GREYS2-TSN38-SAASTA;1
PTA2-PE1;1
PTA-GREYS2-TSN29-ZOO;1
PTA-GREYS2-TSN410-TUT-BAE;1
PTA-GREYS2-TSN159-TUT-ARTS;1
PTA3-PE1;1
PTA-GREYN1-TSN184-UNISA-LTC;1
PTA-GREYN1-TSN200-UNISA-SSE;1
PTA-GREYN1-TSN201-UNISA-SSW;1
PTA-GREYN1-TSN204-UNISA-SRB;1
PTA-GREYN1-TSN538-TUT-ADT;1
PTA4-PE1;1
PTA-GREYN2-TSN282-INNHUB;1
MTZ1-IR1-MTZ1-RR1;1
AMS1-IR1;1
RCB1-PE1;1
AMS1-IR1-AMS1-PR2;1
ISD1-PE1-ISD1-RR1;1
LDN1-IR1-LDN1-PR1;1
LDN1-IR1-LDN1-PR2;1
DUR-TSN19-MUT;1
BFN-GREY1-TSN173-UNISAB;1
KIM-TSN760-SPUC;1
PZB-TSN534-HSRC-SW;1
PZB-TSN670-ARC-CACWL;1
PZB-TSN267-SAEON-GWFN;1
PTA-GREYS2-TSN660-NSF-NDI;1
PTA-TSN397-ARCPPRI;1
RSB1-PE1;1
PTA-GREYS3-TSN259-SAWS;1
WIT-TSN160-TUT-WIT-PE;1
CPT-GREYSLB1-TSN103-CSIR;1
JNB-NHLS-TSN677-SAND;1
JNB-TSN251-GIBS;1
JNB-TSN949-GIBS-NORTH;1
JNB-GREY2-TSN171-UJSO;1
UTT-TSN362-WSU-MHRC;1
UTT-TSN189-UNISA-MTH;1
AMS1-IR1-AMS1-PR1;1
POL-GREY1-TSN309-UNISA-PHUB;1
POL-GREY1-TSN313-UL-POLH;1
LAB-PTA-SAST;1
LAB-PTA-MX204;1
JNB-GREY2-TSN659-WITS-CLMDC;1
HLA1-TSN294-NECSA-1;1
JNB-GREY-TSN285-WITS-RMH;1
JNB-GREY-TSN284-WITS-HJH;1
ISD1-PE2-ISD1-PR3;1
JNB-GREY1-TSN690-NHLS-BRAAM;1
CPT-GREYSS2-TSN788-UCTSHAW;1
CPT1-IR1-CPT1-PR1;1
CPT1-IR1-CPT1-RR1;1
CPT1-LG1;1
DUR3-PE1-DUR3-PR1;1
DBN-GREY1-TSN231-UKZNW-PE;1
NLP1-PE1;1
NLP-TSN537-ARC-ITSC;1
DBN-TSN935-DHA-UMGENI;1
TLP-TSN83-UL-TLP-PE;1
UTT-TSN363-WSU-ZAM;1
PTA-TSN940-DHA-SOSH;1
CPT-TENET-LAB-ALU-2;1
THY-TSN87-UNIVEN-SSB;1
PTA-GREYN1-TSN399-TUT-ZAR;1
PTA-GREYS2-TSN355-TUT-LEGAE;1
PTA-GREYS2-TSN16-HSRC-MC;1
PTA-GREYS2-TSN262-ARCISCW;1
PTA-GREYS2-TSN300-DAFF;1
PTA-GREYN1-TSN27-NLSA-PTA;1
NLP-TSN946-UMP-DC1-PE;1
PTA-TSN377-ARC-IRENE-PE;1
CPT-TENET-LAB-ALU-1;1
LAB-PTA-SAS-SX;1
CPT9-PE2;1
DBN-GREY1-TSN498-CAPRISA-ECRS;2
DBN-GREY1-TSN151-DUTC;2
DBN-GREY1-TSN176-UNISAM;2
CPT-GREYSS1-TSN39-SAAO;2
JNB-GREY2-TSN42-UJBU-2;2
JNB-TSN44-UJ-DF-PE;2
GRJ-TSN459-NMU-GC;2
CPT-GREYSS1-TSN463-DFA-PLN;2
CPT1-LAB1;2
TERACO-TSN462-RDB;2
PHU-TSN247-UFSQ;2
WEL1-PE1;2
PTA-GREYS2-TSN260-CGS;2
BFN1-PE1;2
PTA-GREYS2-TSN973-UNIVEN-COL;2
PTA-GREYS2-TSN261-ARC-HO-PE;2
CPT7-PE1;2
PLZ2-PE1;2
LDN1-IR1;2
ISD1-PE2;2
CPT3-PE2;2
PZB-GREY1-TSN193-UNISAP;2
PZB-GREY1-TSN385-CGSP;2
PTA-GREYN2-TSN254-UP-HILL-PE;2
PTA-GREYN1-TSN389-SMU-MC-PE;2
DBN-GREY1-TSN222-TIA-PWC;2
DBN-GREY1-TSN366-UKZNE-PE;2
RCB-TSN596-WRLHS-ALTSO;2
PTA-GREYS3-TSN403-ASSAF;2
GRH1-PE1;2
CPT-GREYSS1-TSN272-UCTDOR;2
