Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;1;3;0.21950020026389777
DBN-GREY1-TSN497-CAPRISA-DDMRI;1;2;0.14633346684259851
DBN-GREY1-TSN151-DUTC;1;1;0.07316673342129923
DBN-GREY1-TSN176-UNISAM;1;1;0.07316673342129913
DBN-GREY1-TSN232-NMMS;1;1;0.07316673342129933
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0.1334478255154412
CPT-GREYSS1-TSN145-CPUTM;1;1;0.1334478255154412
CPT4-PE1;1;2;0.0411680028482569
CPT1-IR1;1;1;0.02058400142412848
TENET-TSN118-AIMS;1;2;0.041168002848256925
CPT-GREYSS1-TSN495-UCTVH;1;1;0.020584001424128518
CPT-GREYSS1-TSN39-SAAO;1;2;0.04116800284825707
JNB-GREY2-TSN99-CSMI;2;1;0.27772458994920013
JNB-GREY2-TSN42-UJBU;2;1;0.27772458994920035
JNB3-PE1;2;1;0.27772458994920013
JNB-GREY2-TSN42-UJBU-2;1;1;0.13886229497460012
JNB-GREY2-TSN295-CSIR-CTF;1;2;0.2777245899492003
JNB-GREY1-TSN110-WITSE;1;2;0.27772458994920024
JNB-GREY1-TSN112-WITSM;1;2;0.2777245899492004
JNB-TSN44-UJ-DF-PE;1;1;0.13886229497460018
HMS-TSN28-SANSA;1;2;0.04116800284825679
GRJ-TSN459-NMU-GC;2;1;0.041168002848256814
CPT2-PE1;1;1;0.020584001424128254
VDP-GREY2-TSN484-DFA-VDBP;1;2;0.03552483432708506
VDP-GREY2-TSN139-NWUFAR;1;1;0.017762417163542647
VDP1-PE1;1;1;0.017762417163542602
CPT-GREYSS1-TSN463-DFA-PLN;1;3;0.06175200427238512
CPT3-PE1;2;1;0.041168002848256814
CPT1-LAB1;1;1;0.020584001424128435
TENET-TSN470-DFA-WYN;1;2;0.041168002848256884
TERACO-TSN462-RDB;1;2;0.041168002848256835
SLB-TSN750-DOA-ELSEN;1;1;0.02058400142412845
PHU-TSN247-UFSQ;1;3;0.3245136777118812
BTH-TSN504-ARC-SGI;1;1;0.10817122590396043
DUR3-PE1;1;1;0.10817122590396028
WEL1-PE1;1;1;0.1081712259039604
PTA-GREYS2-TSN499-DFASAMCOR;1;3;0.06164976829786529
PTA-GREYS2-TSN257-SANBI;1;1;0.020549922765955072
PTA-GREYS2-TSN260-CGS;1;1;0.020549922765955114
PTA-GREYS2-TSN509-UP-MAMC;1;1;0.020549922765955117
BFN2-PE1;1;5;0.1029200071206406
BFN3-PE1;1;2;0.04116800284825634
BFN1-PE1;1;1;0.02058400142412796
BFN-GREY1-TSN246-UFSPSY;1;1;0.02058400142412792
BFN-GREY1-TSN244-UFSNATH;1;1;0.020584001424127998
JNB2-PE1;1;1;0.02058400142412801
PTA-GREYS2-TSN40-USAF;1;2;0.09682845537133897
PTA-GREYS2-TSN973-UNIVEN-COL;1;1;0.04841422768566956
PTA-GREYS2-TSN261-ARC-HO-PE;1;1;0.0484142276856695
UTW-TSN468-WSUQ;1;2;0.1442293983287895
UTT-TSN86-WSU-NMD-PE;1;1;0.07211469916439472
WTS-TSN467-WSUW;1;1;0.0721146991643947
PLZ1-PE1;2;1;0.04116800284825685
ISD1-PE1-ISD1-PR1;1;1;0.272305324015079
ISD1-PE1;1;1;0.27230532401507906
CPT7-PE1;1;1;0.020584001424128345
CPT-TSN793-NSFAS-CBD;1;1;0.020584001424128463
CPT3-PE1-CPT3-PR1;1;1;0.02058400142412833
