Name;Algebraic Connectivity;Multiplicity of the one eigenvalue;Density of eigenvalues around 1;Multiplicity of the zero eigenvalue
sample1_isis-links.json_sample1;-3.6927379631826944e-16;16;0.27586206896551724;10
sample1_isis-links.json_sample1;-3.6927379631826944e-16;16;0.27586206896551724;10
sample2_isis-links.json_sample2;-4.4203324128594195e-16;30;0.27522935779816515;18
sample3_isis-links.json_sample3;-1.1072274554650667e-15;31;0.20666666666666667;16
sample4_isis-links.json_sample4;-1.0257227559894047e-15;24;0.12972972972972974;14
sample5_isis-links.json_sample5;-7.802510618757291e-16;30;0.13953488372093023;10
sample6_isis-links.json_sample6;-5.392929597231484e-16;34;0.14107883817427386;5
sample7_isis-links.json_sample7;4.504651428743265e-16;31;0.11923076923076924;3
sample8_isis-links.json_sample8;0.023789348363201755;25;0.08992805755395683;1
