Node;Closeness Centrality
ZEH1-PE1;0.22465531224655313
RCB-TSN596-WRLHS-ALTSO;0.1825972313777192
RCB-TSN20-AHRI-SOM-1;0.15448968209704406
RCB-TSN116-UZ-RCB-PE;0.22284794851166534
VDP-GREY1-TSN90-VUTMC;0.18080939947780678
CPT-GREYSLB1-TSN292-ARCINFR;0.15738636363636363
CPT-GREYSLB1-TSN79-SUN;0.18665768194070081
PTD-TSN216-WSU-PTD-PE;0.19384184744576627
BIY-TSN65-UFH-BHISHO-PE;0.19465917076598735
UTE-TSN12-WSU-B-PE;0.1943859649122807
PTA-GREYS3-TSN250-TIAMHO;0.18152031454783749
PTA-GREYS3-TSN403-ASSAF;0.2078019504876219
PTA-TSN455-SITA-CENT-PE;0.20594795539033459
LCD-TSN186-UNISAM;0.1717296962182269
THY-TSN87-UNIVEN-MC-PE;0.20718025430067316
ALC-TSN64-UFHA;0.16921197312156383
GRH1-PE1;0.18454363757495004
GRH1-PE2;0.16921197312156383
MFK-TSN32-NWUM;0.16716958358479178
MFK1-PE1;0.2005792903692976
KIM-TSN345-SPU-NC-PE;0.1838088918380889
ZEH-TSN938-DHA-POTCH;0.18356527501656728
PTA-GREYS3-TSN8-CHE;0.20733532934131738
PTA-GREYS2-TSN299-ARCIAE;0.13551859099804306
PTA-GREYN1-TSN298-ARCOVI;0.2111280487804878
PTA-GREYN1-TSN75-UPO;0.17813504823151124
PTA-CSIR-TWR;0.2070254110612855
CPT-GREYSS1-TSN144-CPUTGSH;0.128003696857671
CPT-GREYSS1-TSN273-CPUTGSR;0.14625131995776136
CPT-GREYSS1-TSN768-UCTCAN;0.16910866910866912
CPT-GREYSS1-TSN272-UCTDOR;0.20248538011695907
CPT-GREYSS1-TSN169-UCTRHR;0.1705665024630542
CPT-GREYBEL1-TSN174-UNIBEL;0.15828571428571428
CPT-GREYBEL1-TSN22-MRCCPT-PE;0.18690958164642374
CPT-GREYBEL1-TSN812-UWC-DIH;0.13726461843409316
CPT-GREYBEL1-TSN278-UWCT;0.15747583854462763
CPT-GREYBEL1-TSN147-CPUTT;0.18590604026845636
CPT-GREYBEL1-TSN208-USTYG;0.15783475783475784
CPT6-PE1;0.22723543888433143
CPT-GREYBEL1-TSN487-MRCN;0.15783475783475784
CPT-GREYCBD1-TSN650-NLSA-CFB;0.1838088918380889
CPT-GREYCBD1-TSN24-NLSA;0.22392886014551333
CPT-GREYCBD1-TSN18-IZMU;0.18442077230359522
CPT-GREYCBD2-TSN143-CPUTGB;0.1823568136932192
CPT-GREYCBD2-TSN109-SANAP;0.18442077230359522
CPT-GREYCBD2-TSN215-HSRCCPT;0.22231139646869985
CPT-GREYCBD2-TSN164-UCTBS;0.22538649308380798
CPT-GREYCBD1-TSN275-MCM;0.1838088918380889
CPT-GREYCBD1-TSN641-SAEON;0.22320709105560033
CPT-GREYCBD1-TSN490-CPGR;0.15632054176072235
CPT-GREYCBD1-TSN4-CPUTCPT;0.13605108055009824
CPT-GREYCBD1-TSN276-CPUTOPT;0.11991341991341992
CPT-GREYCBD1-TSN163-UCT-HID;0.15667420814479638
CPT-GREYCBD1-TSN277-CPUTB;0.1356513222331048
CPT-GREYSS2-TSN271-UCTRBG;0.2002892263195951
CPT-GREYSS2-TSN800-UWC-CASAS;0.20014450867052022
CPT-GREYSS2-TSN168-UCTRCCH;0.1818778726198293
CPT-GREYSS2-TSN167-UCTRMH;0.1838088918380889
JNB5-TSN249;0.21623731459797033
SDT-TSN535-UCT-GSB;0.17824967824967825
JNB1-PE1;0.2410791993037424
NC-SKA-TSN239-LOS;0.15448968209704406
NC-SKA-TSN238-KLE;0.1823568136932192
LOS-TSN239-SKA-LOS-PE;0.1823568136932192
KLE-TSN238-SKA-KLE-PE;0.1823568136932192
CPT5-PE1;0.20116194625998549
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;0.18528428093645485
CPT8-PE1;0.2
CPT-GREYSS1-TSN804-SKAO-BRP;0.15801483171705646
