Node;Core Number;Core Strength;Core Influence
CPT-GREYBEL1-TSN493-CGSB;1;2;0.0106409149994639
CPT-GREYBEL1-TSN585-UWC-FCHS;1;1;0.005320457499731959
CPT-GREYBEL1-TSN34-CPUTB;1;2;0.010640914999463357
DBN-GREY1-TSN375-SANBI;1;2;0.010640914999464006
DBN-GREY1-TSN11-DUTS;1;1;0.005320457499732062
DUR1-PE1;2;2;0.015961372499195305
DBN-GREY1-TSN150-DUTB;1;2;0.07892437777660209
DBN-GREY1-TSN132-MRC;1;2;0.07892437777660208
DBN-GREY1-TSN222-TIA-PWC;1;1;0.039462188888301095
DBN-GREY1-TSN662-CAPRISA-KDH;1;1;0.03946218888830102
DBN-GREY1-TSN13-CAO;2;1;0.010640914999462873
DUR2-PE1;2;5;0.0319227449983883
DBN-GREY1-TSN366-UKZNE-PE;2;1;0.01064091499946287
DBN-GREY1-TSN97-CSIR;2;1;0.010640914999463166
ZEE1-OR1;2;1;0.010640914999462379
ZEH1-PE1;2;3;0.02128182999892523
RCB-TSN596-WRLHS-ALTSO;1;2;0.3405614104593226
RCB-TSN20-AHRI-SOM-1;1;1;0.17028070522966138
RCB-TSN116-UZ-RCB-PE;1;1;0.17028070522966132
VDP-GREY1-TSN90-VUTMC;1;1;0.005320457499731171
CPT-GREYSLB1-TSN292-ARCINFR;1;1;0.005320457499731802
CPT-GREYSLB1-TSN79-SUN;2;1;0.010640914999463107
PTD-TSN216-WSU-PTD-PE;1;1;0.005320457499731474
BIY-TSN65-UFH-BHISHO-PE;2;1;0.010640914999463172
UTE-TSN12-WSU-B-PE;1;1;0.005320457499731497
PTA-GREYS3-TSN250-TIAMHO;1;2;0.010640914999465493
PTA-GREYS3-TSN403-ASSAF;1;2;0.010640914999465859
PTA-TSN455-SITA-CENT-PE;1;1;0.005320457499732596
LCD-TSN186-UNISAM;1;1;0.4085355839526425
THY-TSN87-UNIVEN-MC-PE;1;1;0.40853558395264283
ALC-TSN64-UFHA;2;1;0.01064091499946328
GRH1-PE1;2;1;0.010640914999463246
GRH1-PE2;1;1;0.005320457499731571
MFK-TSN32-NWUM;1;1;0.005320457499730917
MFK1-PE1;1;2;0.01064091499946207
KIM-TSN345-SPU-NC-PE;1;1;0.005320457499731154
ZEH-TSN938-DHA-POTCH;1;1;0.005320457499731154
PTA-GREYS3-TSN8-CHE;1;2;0.010640914999465482
PTA-GREYS2-TSN299-ARCIAE;2;1;0.010640914999461727
PTA-GREYN1-TSN298-ARCOVI;1;2;0.010640914999465078
PTA-GREYN1-TSN75-UPO;1;2;0.01064091499946434
PTA-CSIR-TWR;1;1;0.00532045749973294
CPT-GREYSS1-TSN144-CPUTGSH;1;2;0.01064091499946496
CPT-GREYSS1-TSN273-CPUTGSR;1;1;0.005320457499732546
CPT-GREYSS1-TSN768-UCTCAN;1;2;0.010640914999464205
