Source;Taregt
CPT3-PE1;PLZ1-PE1
CPT3-PE1;CPT3-PE1-CPT3-PR1
CPT3-PE1;CPT3-PE1-CPT3-PR2
CPT3-PE1;PLZ2-PE1
CPT3-PE1;ISD1-PE1
CPT3-PE1;NC-SAAO-TSN91-SUTH
CPT3-PE1;LDN1-IR1
CPT3-PE1;DUR3-PE1
CPT3-PE1;ISD1-PE2
CPT3-PE1;SMT-TSN590-IMT
CPT3-PE1;CAR-TSN237-SKA-CAR-PE
CPT3-PE1;CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1
CPT3-PE1;CPT-GREYSS2-TSN170-UCTSSI
CPT3-PE1;CPT-GREYSS2-TSN270-UCTGSR
CPT3-PE1;CPT9-PE1
CPT3-PE1;CPT-GREYSS2-TSN236-SARAO-PE
CPT3-PE1;CPT-TSN943-DHA-WYNBERG
CPT3-PE1;CPT3-PE2
CPT1-LAB1;CPT-TENET-LAB-ALU-2
CPT1-LAB1;LAB-MX204-JNB1
TERACO-TSN462-RDB;SLB-TSN750-DOA-ELSEN
PHU-TSN247-UFSQ;BTH-TSN504-ARC-SGI
PHU-TSN247-UFSQ;DUR3-PE1
PHU-TSN247-UFSQ;WEL1-PE1
BTH-TSN504-ARC-SGI;KRO-TSN182-UNISAKRO
DUR3-PE1;ELS1-PE1
DUR3-PE1;ELS3-PE1
DUR3-PE1;MTZ1-IR1
DUR3-PE1;DUR2-PE1
DUR3-PE1;PZB1-PE1
DUR3-PE1;DUR-TSN19-MUT
DUR3-PE1;DBN-GREY1-TSN662-CAPRISA-KDH
DUR3-PE1;ISD1-PE2
DUR3-PE1;ISD1-PE1
DUR3-PE1;DUR3-PE1-DUR3-PR1
DUR3-PE1;DBN-GREY1-TSN231-UKZNW-PE
DUR3-PE1;DUR1-PE1
DUR3-PE1;RCB-TSN116-UZ-RCB-PE
DUR3-PE1;UTT-TSN86-WSU-NMD-PE
WEL1-PE1;KRO-TSN182-UNISAKRO
WEL1-PE1;BFN1-PE1
PTA-GREYS2-TSN499-DFASAMCOR;PTA-GREYS2-TSN257-SANBI
PTA-GREYS2-TSN499-DFASAMCOR;PTA-GREYS2-TSN260-CGS
PTA-GREYS2-TSN499-DFASAMCOR;PTA-GREYS2-TSN509-UP-MAMC
PTA-GREYS2-TSN257-SANBI;PTA1-PE1
PTA-GREYS2-TSN260-CGS;PTA-GREYS2-TSN299-ARCIAE
PTA-GREYS2-TSN260-CGS;PTA-GREYS2-TSN973-UNIVEN-COL
BFN2-PE1;BFN3-PE1
BFN2-PE1;BFN1-PE1
BFN2-PE1;BFN-GREY1-TSN246-UFSPSY
BFN2-PE1;BFN-GREY1-TSN244-UFSNATH
BFN2-PE1;JNB2-PE1
BFN3-PE1;ELS3-PE1
BFN3-PE1;BFN1-PE1
BFN3-PE1;ISD1-PE2
BFN3-PE1;ISD1-PE1
BFN1-PE1;BFN-GREY1-TSN242-UFSSC
BFN1-PE1;ELS1-PE1
BFN1-PE1;ZEH1-PE1
BFN1-PE1;BFN-GREY1-TSN173-UNISAB
BFN1-PE1;KIM-TSN760-SPUC
BFN-GREY1-TSN244-UFSNATH;BFN-GREY1-TSN245-UFSPELH
JNB2-PE1;ZEH1-PE1
JNB2-PE1;JNB5-TSN249
JNB2-PE1;MTZ1-IR1
JNB2-PE1;JNB1-PE1
JNB2-PE1;JNB-GREY2-TSN171-UJSO
JNB2-PE1;JNB-GREY2-TSN659-WITS-CLMDC
JNB2-PE1;HLA1-PE1
JNB2-PE1;JNB-GREY1-TSN690-NHLS-BRAAM
JNB2-PE1;ISD1-PE1
JNB2-PE1;JNB-TSN76-UNISA-FLORIDA-PE
PTA-GREYS2-TSN40-USAF;PTA-GREYS2-TSN973-UNIVEN-COL
PTA-GREYS2-TSN40-USAF;PTA-GREYS2-TSN261-ARC-HO-PE
PTA-GREYS2-TSN973-UNIVEN-COL;PTA-GREYS2-TSN299-ARCIAE
PTA-GREYS2-TSN261-ARC-HO-PE;PTA-GREYS2-TSN262-ARCISCW
PTA-GREYS2-TSN261-ARC-HO-PE;PTA-GREYN1-TSN74-UP-MED-PE
UTW-TSN468-WSUQ;UTT-TSN86-WSU-NMD-PE
UTW-TSN468-WSUQ;WTS-TSN467-WSUW
UTT-TSN86-WSU-NMD-PE;ELS2-PE1
UTT-TSN86-WSU-NMD-PE;UTT-TSN362-WSU-MHRC
UTT-TSN86-WSU-NMD-PE;UTT-TSN189-UNISA-MTH
UTT-TSN86-WSU-NMD-PE;UTT-TSN363-WSU-ZAM
UTT-TSN86-WSU-NMD-PE;UTE-TSN12-WSU-B-PE
WTS-TSN467-WSUW;BIY-TSN65-UFH-BHISHO-PE
PLZ1-PE1;GRH1-PE1
PLZ1-PE1;PLZ2-PE1
ISD1-PE1-ISD1-PR1;ISD1-PE1
ISD1-PE1;MTZ1-IR1
ISD1-PE1;ISD1-PE1-ISD1-RR1
ISD1-PE1;PTA2-PE1
ISD1-PE1;JNB1-PE1
ISD1-PE1;HLA1-PE1
ISD1-PE1;ISD1-PE2
ISD1-PE1;JNB-NHLS-TSN677-SAND
ISD1-PE1;JNB-TSN199-UNISA-SBL-PE
ISD1-PE1;CPT3-PE2
CPT7-PE1;CPT8-PE1
PLZ2-PE1;ELS3-PE1
LDN1-IR1;AMS1-IR1
LDN1-IR1;LDN1-IR1-LDN1-PR1
LDN1-IR1;LDN1-IR1-LDN1-PR2
ISD1-PE2;ISD1-PE2-ISD1-PR3
ISD1-PE2;JNB-TSN199-UNISA-SBL-PE
ISD1-PE2;THY-TSN87-UNIVEN-MC-PE
ISD1-PE2;HLA1-TSN294-NECSA-1
CAR-TSN237-SKA-CAR-PE;NC-SKA-TSN238-KLE
CAR-TSN237-SKA-CAR-PE;LOS-TSN239-SKA-LOS-PE
CAR-TSN237-SKA-CAR-PE;KLE-TSN238-SKA-KLE-PE
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2
CPT-GREYSS2-TSN170-UCTSSI;CPT-GREYSS2-TSN168-UCTRCCH
CPT-GREYSS2-TSN270-UCTGSR;CPT-GREYSS2-TSN271-UCTRBG
CPT9-PE1;CPT-GREYBEL1-TSN34-CPUTB
CPT9-PE1;CPT5-PE1
CPT9-PE1;CPT-GREYBEL1-TSN207-USBS-PE
CPT-GREYSS2-TSN236-SARAO-PE;CPT-GREYSS2-TSN167-UCTRMH
CPT-GREYSS2-TSN236-SARAO-PE;CPT-GREYSS2-TSN165-UCTLGR
CPT3-PE2;LAB-MX204-JNB1
CPT3-PE2;CPT9-PE2
PZB-GREY1-TSN383-DUTI;PZB1-PE1
PZB-GREY1-TSN383-DUTI;PZB-GREY1-TSN384-SANBIP
PZB1-PE1;PZB-GREY1-TSN193-UNISAP
PZB1-PE1;PZB-GREY1-TSN385-CGSP
PZB1-PE1;PZB-GREY1-TSN10-DUTRC
PZB1-PE1;DUR2-PE1
PZB1-PE1;PZB-TSN534-HSRC-SW
PZB1-PE1;PZB-TSN670-ARC-CACWL
PZB1-PE1;PZB-TSN267-SAEON-GWFN
PZB-GREY1-TSN384-SANBIP;PZB-GREY1-TSN193-UNISAP
PZB-GREY1-TSN193-UNISAP;PZB-GREY1-TSN385-CGSP
PZB-GREY1-TSN385-CGSP;PZB-GREY1-TSN10-DUTRC
BFN-GREY1-TSN242-UFSSC;BFN-GREY1-TSN245-UFSPELH
ELS-GREY1-TSN108-WSU-CHS;ELS3-PE1
ELS-GREY1-TSN108-WSU-CHS;ELS-GREY1-TSN177-UNISAE
ELS3-PE1;ELS1-PE1
ELS3-PE1;ELS2-PE1
ELS-GREY1-TSN177-UNISAE;ELS2-PE1
ELS-GREY1-TSN393-WSU-CAM;ELS2-PE1
ELS-GREY1-TSN393-WSU-CAM;ELS1-PE1
ELS2-PE1;ELS1-PE1
ELS1-PE1;PTD-TSN216-WSU-PTD-PE
ELS1-PE1;BIY-TSN65-UFH-BHISHO-PE
ELS1-PE1;UTE-TSN12-WSU-B-PE
PTA-GREYN2-TSN395-TUT-ZET;PTA-GREYN2-TSN141-UPGC
PTA-GREYN2-TSN395-TUT-ZET;PTA-GREYN2-TSN254-UP-HILL-PE
PTA-GREYN2-TSN141-UPGC;PTA2-PE1
PTA-GREYN2-TSN254-UP-HILL-PE;PTA-GREYN2-TSN282-INNHUB
PTA-GREYN2-TSN254-UP-HILL-PE;PTA1-PE1
PTA-GREYN1-TSN354-TUT-MONITOR;PTA-GREYN1-TSN74-UP-MED-PE
PTA-GREYN1-TSN74-UP-MED-PE;PTA-GREYN1-TSN399-TUT-ZAR
PTA-GREYN1-TSN74-UP-MED-PE;PTA-GREYN1-TSN27-NLSA-PTA
PTA-GREYN1-TSN74-UP-MED-PE;PTA-GREYS2-TSN263-MRC-MC-PE
PTA-GREYN1-TSN74-UP-MED-PE;PTA-GREYN1-TSN389-SMU-MC-PE
PTA-GREYN1-TSN391-TUT-KOSMOS;PTA-GREYN1-TSN203-UNISA-SN
PTA-GREYN1-TSN391-TUT-KOSMOS;PTA-GREYN1-TSN353-TUT-TEMPO
PTA-GREYN1-TSN203-UNISA-SN;PTA-GREYN1-TSN204-UNISA-SRB
PTA-GREYN1-TSN353-TUT-TEMPO;PTA-GREYN1-TSN315-BREYTEN
PTA-GREYN1-TSN315-BREYTEN;PTA-GREYN1-TSN200-UNISA-SSE
PTA-GREYN1-TSN161-TUT-SOSN;PTA-GREYN1-TSN162-TUT-SOSS
PTA-GREYN1-TSN161-TUT-SOSN;PTA-GREYN1-TSN49-TUT-ERC-GAR
PTA-GREYN1-TSN162-TUT-SOSS;PTA-GREYN1-TSN75-UPO
PTA-GREYN1-TSN162-TUT-SOSS;PTA-TSN940-DHA-SOSH
PTA-GREYN1-TSN49-TUT-ERC-GAR;PTA-GREYN1-TSN389-SMU-MC-PE
PTA-GREYN1-TSN389-SMU-MC-PE;PTA-GREYN1-TSN399-TUT-ZAR
PTA-CSIR-SCALAB;PTA1-PE1
PTA1-PE1;PTA-GREYS3-TSN8-CHE
PTA1-PE1;PTA-GREYN1-TSN298-ARCOVI
PTA1-PE1;PTA-CSIR-TWR
PTA1-PE1;PTA-GREYS1-TSN301-DST
PTA1-PE1;PTA-GREYS1-TSN30-NRF
PTA1-PE1;PTA3-PE1
PTA1-PE1;PTA4-PE1
PTA1-PE1;PTA-GREYN2-TSN282-INNHUB
PTA1-PE1;MTZ1-IR1
PTA1-PE1;LAB-PTA-MX10K
PTA1-PE1;PTA2-PE1
PTA1-PE1;PTA-TSN397-ARCPPRI
PTA1-PE1;PTA-GREYS3-TSN403-ASSAF
PTA1-PE1;POL1-PE1
PTA1-PE1;NLP-TSN344-UMP-DC2-PE
PTA1-PE1;RSB1-PE1
CPT-GREYBEL1-TSN493-CGSB;CPT-GREYBEL1-TSN585-UWC-FCHS
CPT-GREYBEL1-TSN493-CGSB;CPT-GREYBEL1-TSN34-CPUTB
