graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
bfn,betweeness,16,0.03576,5.5625,0.5625,1.625,-0.15751,2.8125,-0.8125,-0.90625
bfn,closeness,16,0.03576,4.5625,0.75,1.65625,-0.15751,1.8125,-0.625,-0.875
bfn,core influence,16,0.03576,5.5,0.6875,1.5,-0.15751,2.75,-0.6875,-1.03125
bfn,degree,16,0.03576,5.8125,0.5,1.65625,-0.15751,3.0625,-0.875,-0.875
bfn,random,16,0.19327,2.75,1.375,2.53125,0.0,0.0,0.0,0.0
