removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,8,0.7029294556367258,3,1,1.0,core number
2,7,0.0,1,5,2.0,core number
3,6,0.0,0,6,1.0,core number
4,5,0.0,0,5,1.0,core number
5,4,0.0,0,4,1.0,core number
6,3,0.0,0,3,1.0,core number
7,2,0.0,0,2,1.0,core number
