removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,69,0.07630552919285967,12,1,5.285714285714286,core strength
2,68,0.0,9,9,3.5714285714285716,core strength
3,67,0.0,4,17,2.142857142857143,core strength
4,66,-5.77166594621651e-16,5,20,1.7142857142857142,core strength
5,65,-2.447719360364306e-16,5,20,2.7142857142857144,core strength
6,64,-6.050333833045802e-16,5,21,2.0,core strength
7,63,-5.86666197946745e-16,6,22,2.0,core strength
8,62,-6.888408170957591e-16,6,23,1.4285714285714286,core strength
9,61,-5.598072317482437e-16,6,24,1.4285714285714286,core strength
10,60,-5.598072317482437e-16,6,25,1.6666666666666667,core strength
11,59,-4.77040837813276e-16,7,26,1.5,core strength
12,58,-5.598072317482437e-16,7,26,2.0,core strength
13,57,-5.187920482320694e-16,7,27,1.5,core strength
14,56,-4.77040837813276e-16,7,27,1.3333333333333333,core strength
15,55,-4.4203324128594195e-16,5,29,2.3333333333333335,core strength
16,54,-4.77040837813276e-16,5,29,1.8333333333333333,core strength
17,53,-4.4203324128594195e-16,5,29,1.6666666666666667,core strength
18,52,-4.4203324128594195e-16,5,28,2.0,core strength
19,51,-4.4203324128594195e-16,5,27,1.5,core strength
20,50,-4.4203324128594195e-16,5,27,1.2,core strength
21,49,-4.4203324128594195e-16,5,26,1.8,core strength
22,48,-4.4203324128594195e-16,5,26,2.0,core strength
23,47,-4.4203324128594195e-16,5,25,1.2,core strength
24,46,-4.4203324128594195e-16,4,25,2.4,core strength
25,45,-4.4203324128594195e-16,4,24,1.3333333333333333,core strength
26,44,-4.4203324128594195e-16,4,24,2.0,core strength
27,43,-4.4203324128594195e-16,4,23,1.6666666666666667,core strength
28,42,-4.4203324128594195e-16,4,23,2.4,core strength
29,41,-4.4203324128594195e-16,4,22,1.8,core strength
30,40,0.0,3,23,1.5,core strength
31,39,0.0,3,22,1.5,core strength
32,38,0.0,3,21,1.75,core strength
33,37,0.0,3,20,2.25,core strength
34,36,0.0,3,21,1.75,core strength
35,35,0.0,3,21,1.5,core strength
36,34,0.0,3,20,2.25,core strength
37,33,0.0,3,19,2.5,core strength
38,32,0.0,3,18,1.5,core strength
39,31,0.0,3,17,1.5,core strength
40,30,0.0,3,16,1.5,core strength
41,29,0.0,3,17,1.5,core strength
42,28,-3.8944520870189387e-17,3,18,1.3333333333333333,core strength
43,27,0.0,3,18,1.5,core strength
44,26,0.0,3,17,1.5,core strength
45,25,0.0,3,17,2.3333333333333335,core strength
46,24,0.0,4,17,2.3333333333333335,core strength
47,23,0.0,3,17,1.6666666666666667,core strength
48,22,0.0,3,16,1.6666666666666667,core strength
49,21,0.0,2,17,1.6666666666666667,core strength
50,20,0.0,2,16,1.3333333333333333,core strength
51,19,0.0,2,15,1.3333333333333333,core strength
52,18,0.0,2,14,1.3333333333333333,core strength
53,17,0.0,1,14,1.0,core strength
54,16,0.0,1,14,1.5,core strength
55,15,0.0,1,13,1.5,core strength
56,14,0.0,0,13,1.0,core strength
57,13,0.0,0,13,1.0,core strength
58,12,0.0,0,12,1.0,core strength
59,11,0.0,0,11,1.0,core strength
60,10,0.0,0,10,1.0,core strength
61,9,0.0,0,9,1.0,core strength
62,8,0.0,0,8,1.0,core strength
63,7,0.0,0,7,1.0,core strength
64,6,0.0,0,6,1.0,core strength
65,5,0.0,0,5,1.0,core strength
66,4,0.0,0,4,1.0,core strength
67,3,0.0,0,3,1.0,core strength
68,2,0.0,0,2,1.0,core strength
