removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,11,0.77546617721373,4,1,2.5,closeness
2,10,0.0,0,6,2.0,closeness
3,9,0.0,1,7,2.0,closeness
4,8,0.0,0,7,1.0,closeness
5,7,0.0,0,7,1.0,closeness
6,6,0.0,0,6,1.0,closeness
7,5,0.0,0,5,1.0,closeness
8,4,0.0,0,4,1.0,closeness
9,3,0.0,0,3,1.0,closeness
10,2,0.0,0,2,1.0,closeness
