removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,8,0.7029294556367258,3,1,1.0,core strength
2,7,0.0,1,5,2.0,core strength
3,6,0.0,1,4,2.0,core strength
4,5,0.0,1,3,2.0,core strength
5,4,0.0,0,4,1.0,core strength
6,3,0.0,0,3,1.0,core strength
7,2,0.0,0,2,1.0,core strength
