removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,61,0.05663163428322995,4,1,4.142857142857143,core number
2,60,0.0,8,2,2.8333333333333335,core number
3,59,-3.897710189079104e-16,3,10,1.8333333333333333,core number
4,58,-7.174626002251888e-16,3,11,2.1666666666666665,core number
5,57,-3.5834824876760847e-16,3,12,2.1666666666666665,core number
6,56,-4.630692979081621e-16,4,12,2.0,core number
7,55,-7.570027105741603e-16,4,12,2.0,core number
8,54,-6.242737987532105e-16,3,13,1.3333333333333333,core number
9,53,-5.086561543338174e-16,4,13,1.6666666666666667,core number
10,52,-4.980555525239521e-16,5,13,2.5,core number
11,51,-1.0069848044248308e-15,4,13,2.0,core number
12,50,-7.844289417636463e-16,3,13,1.6,core number
13,49,-8.115585484012374e-16,3,14,1.3333333333333333,core number
14,48,-1.2917670115249668e-15,3,14,1.3333333333333333,core number
15,47,-6.508022813604686e-16,3,14,2.6,core number
16,46,-5.884283400941292e-16,3,13,2.6,core number
17,45,-4.979766674234616e-16,2,15,1.3333333333333333,core number
18,44,-5.441243884741181e-16,2,14,1.8,core number
19,43,-6.675492901199095e-16,2,13,1.8,core number
20,42,-8.650267671496014e-16,2,13,2.2,core number
21,41,-6.77011324957213e-16,2,12,1.4,core number
22,40,-5.84231026745839e-16,3,13,2.2,core number
23,39,-7.668385220567814e-16,3,14,1.0,core number
24,38,-4.892019369862105e-16,4,14,2.25,core number
25,37,-6.879176103869073e-16,3,14,1.0,core number
26,36,-7.384053824854227e-16,3,14,1.75,core number
27,35,-6.05318887907074e-16,3,13,2.25,core number
28,34,-6.721367794592971e-16,3,13,1.75,core number
29,33,-5.389151415611901e-16,3,12,1.75,core number
30,32,-2.8382747941987946e-16,2,12,2.25,core number
31,31,-1.960321170220302e-16,2,12,2.25,core number
32,30,-2.7724057641242724e-16,3,12,1.5,core number
33,29,-3.1805363174855866e-16,2,12,1.3333333333333333,core number
34,28,-3.40921028891171e-16,3,13,1.6666666666666667,core number
35,27,-9.858039080670443e-17,2,13,1.6666666666666667,core number
36,26,-3.3339269682751214e-16,2,12,1.6666666666666667,core number
37,25,-2.7145342401676424e-16,1,12,1.6666666666666667,core number
38,24,-3.255801788231964e-16,0,13,1.0,core number
39,23,-2.0384718504869474e-16,1,13,1.3333333333333333,core number
40,22,-2.776567885683457e-16,0,13,1.6666666666666667,core number
41,21,-1.4640217747295314e-16,0,13,1.6666666666666667,core number
42,20,-2.6256553393095085e-16,0,13,1.0,core number
43,19,-1.4962927847797562e-16,0,12,1.6666666666666667,core number
44,18,-8.400782861752106e-17,0,11,1.0,core number
45,17,-1.3781897736715915e-16,0,11,2.5,core number
46,16,-1.7722948408861622e-16,0,10,2.5,core number
47,15,0.0,0,11,2.0,core number
48,14,0.0,0,11,2.0,core number
49,13,0.0,0,12,1.0,core number
50,12,0.0,0,11,1.0,core number
51,11,0.0,0,10,1.0,core number
52,10,0.0,0,9,1.0,core number
53,9,0.0,0,8,1.0,core number
54,8,0.0,0,7,1.0,core number
55,7,0.0,0,7,1.0,core number
56,6,0.0,0,6,1.0,core number
57,5,0.0,0,5,1.0,core number
58,4,0.0,0,4,1.0,core number
59,3,0.0,0,3,1.0,core number
60,2,0.0,0,2,1.0,core number
