removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,32,0.22359960790215574,8,1,5.5,core strength
2,31,0.0,6,4,2.6,core strength
3,30,0.0,7,7,3.3333333333333335,core strength
4,29,-1.9021669210701278e-16,7,8,3.3333333333333335,core strength
5,28,0.0,0,15,1.0,core strength
6,27,0.0,0,16,1.6666666666666667,core strength
7,26,0.0,1,18,1.3333333333333333,core strength
8,25,0.0,1,18,1.3333333333333333,core strength
9,24,0.0,1,18,1.3333333333333333,core strength
10,23,0.0,2,18,1.3333333333333333,core strength
11,22,0.0,2,17,1.3333333333333333,core strength
12,21,0.0,2,16,1.6666666666666667,core strength
13,20,0.0,2,15,1.3333333333333333,core strength
14,19,0.0,2,14,1.3333333333333333,core strength
15,18,0.0,2,13,2.0,core strength
16,17,0.0,2,12,1.3333333333333333,core strength
17,16,0.0,2,11,1.3333333333333333,core strength
18,15,0.0,2,10,1.0,core strength
19,14,0.0,2,9,1.3333333333333333,core strength
20,13,0.0,2,8,2.0,core strength
21,12,0.0,2,8,2.0,core strength
22,11,0.0,2,7,2.0,core strength
23,10,0.0,1,8,2.0,core strength
24,9,0.0,1,7,2.0,core strength
25,8,0.0,1,6,2.0,core strength
26,7,0.0,1,5,2.0,core strength
27,6,0.0,1,4,2.0,core strength
28,5,0.0,1,3,2.0,core strength
29,4,3.960290235698816e-17,1,2,2.0,core strength
30,3,0.0,0,2,1.0,core strength
31,2,0.0,0,2,1.0,core strength
