node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,1,14,0.5340408632573866,5,1,3.0,betweeness
3,2,13,-2.2806623196260948e-17,4,5,1.0,betweeness
9,3,12,0.0,1,8,2.5,betweeness
7,4,11,0.0,0,10,1.0,betweeness
8,5,10,0.0,0,10,1.0,betweeness
2,6,9,0.0,0,9,1.0,betweeness
4,7,8,0.0,0,8,1.0,betweeness
5,8,7,0.0,0,7,1.0,betweeness
6,9,6,0.0,0,6,1.0,betweeness
10,10,5,0.0,0,5,1.0,betweeness
11,11,4,0.0,0,4,1.0,betweeness
12,12,3,0.0,0,3,1.0,betweeness
13,13,2,0.0,0,2,1.0,betweeness
