removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,14,0.5340408632573866,5,1,3.0,core number
2,13,-2.2806623196260948e-17,4,5,1.0,core number
3,12,0.0,1,8,2.5,core number
4,11,0.0,1,7,2.5,core number
5,10,0.0,2,7,3.0,core number
6,9,0.0,1,7,2.0,core number
7,8,0.0,0,8,1.0,core number
8,7,0.0,0,7,1.0,core number
9,6,0.0,0,6,1.0,core number
10,5,0.0,0,5,1.0,core number
11,4,0.0,0,4,1.0,core number
12,3,0.0,0,3,1.0,core number
13,2,0.0,0,2,1.0,core number
