Node;Core Number
CPT1-IR1;3
CPT3-PE1;3
DUR3-PE1;3
BFN2-PE1;3
BFN3-PE1;3
BFN1-PE1;3
JNB2-PE1;3
ISD1-PE1;3
LDN1-IR1;3
ISD1-PE2;3
ELS3-PE1;3
ELS1-PE1;3
PTA1-PE1;3
HLA1-PE1;3
PTA2-PE1;3
MTZ1-IR1;3
AMS1-IR1;3
AMS1-IR1-AMS1-PR2;3
LDN1-IR1-LDN1-PR2;3
LAB-PTA-MX10K;3
LAB-PTA-SAST;3
LAB-PTA-IXR;3
LAB-PTA-MX204;3
LAB-PTA-SAS-SX;3
DBN-GREY1-TSN498-CAPRISA-ECRS;2
DBN-GREY1-TSN497-CAPRISA-DDMRI;2
DBN-GREY1-TSN151-DUTC;2
DBN-GREY1-TSN176-UNISAM;2
DBN-GREY1-TSN232-NMMS;2
CPT-GREYSS1-TSN145-CPUTM;2
CPT4-PE1;2
TENET-TSN118-AIMS;2
CPT-GREYSS1-TSN39-SAAO;2
JNB-GREY2-TSN99-CSMI;2
JNB-GREY2-TSN42-UJBU;2
JNB3-PE1;2
JNB-GREY2-TSN42-UJBU-2;2
JNB-GREY2-TSN295-CSIR-CTF;2
JNB-GREY1-TSN110-WITSE;2
JNB-GREY1-TSN112-WITSM;2
JNB-TSN44-UJ-DF-PE;2
HMS-TSN28-SANSA;2
GRJ-TSN459-NMU-GC;2
CPT2-PE1;2
VDP-GREY2-TSN484-DFA-VDBP;2
VDP-GREY2-TSN139-NWUFAR;2
VDP1-PE1;2
CPT-GREYSS1-TSN463-DFA-PLN;2
CPT1-LAB1;2
TENET-TSN470-DFA-WYN;2
PHU-TSN247-UFSQ;2
BTH-TSN504-ARC-SGI;2
WEL1-PE1;2
PTA-GREYS2-TSN499-DFASAMCOR;2
PTA-GREYS2-TSN257-SANBI;2
PTA-GREYS2-TSN260-CGS;2
BFN-GREY1-TSN244-UFSNATH;2
PTA-GREYS2-TSN40-USAF;2
PTA-GREYS2-TSN973-UNIVEN-COL;2
PTA-GREYS2-TSN261-ARC-HO-PE;2
UTW-TSN468-WSUQ;2
UTT-TSN86-WSU-NMD-PE;2
WTS-TSN467-WSUW;2
PLZ1-PE1;2
CPT7-PE1;2
CPT-TSN793-NSFAS-CBD;2
PLZ2-PE1;2
CAR-TSN237-SKA-CAR-PE;2
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;2
CPT-GREYSS2-TSN170-UCTSSI;2
