Node;Closeness Centrality
PTA-GREYN1-TSN201-UNISA-SSW;0.0878463476070529
PTA-GREYN1-TSN184-UNISA-LTC;0.09217046580773043
PTA-GREYN1-TSN354-TUT-MONITOR;0.09309309309309309
PTA-GREYN1-TSN27-NLSA-PTA;0.0936241610738255
PTA-GREYS2-TSN300-DAFF;0.09502724795640327
PTA-GREYN1-TSN200-UNISA-SSE;0.09957173447537473
PTA-GREYS2-TSN262-ARCISCW;0.10101375814627082
PTA-GREYN1-TSN399-TUT-ZAR;0.10152838427947598
PTA-GREYS2-TSN263-MRC-MC-PE;0.10178766873403867
PTA-GREYN1-TSN74-UP-MED-PE;0.10261125413755057
PTA-GREYN1-TSN315-BREYTEN;0.10847589424572317
PTA-GREYS2-TSN159-TUT-ARTS;0.1108022239872915
PTA-GREYN1-TSN389-SMU-MC-PE;0.11168935148118495
PTA-GREYS2-TSN261-ARC-HO-PE;0.11186848436246993
PTA-GREYN1-TSN353-TUT-TEMPO;0.11943493150684932
CPT-GREYCBD1-TSN276-CPUTOPT;0.12015503875968993
PTA-GREYS2-TSN29-ZOO;0.12178088171104322
PTA-GREYN1-TSN49-TUT-ERC-GAR;0.12285336856010567
PTA-GREYS2-TSN40-USAF;0.12317880794701987
CPT-GREYSS1-TSN500-CPUTSPR;0.12722298221614228
CPT-GREYSS1-TSN144-CPUTGSH;0.12827586206896552
PTA-GREYN1-TSN391-TUT-KOSMOS;0.1333014811275681
JNB-GREY1-TSN110-WITSE;0.13381294964028778
PTA-TSN940-DHA-SOSH;0.13426371511068336
PTA-GREYS2-TSN410-TUT-BAE;0.13556851311953352
PTA-GREYS2-TSN299-ARCIAE;0.13596491228070176
CPT-GREYCBD1-TSN277-CPUTB;0.13596491228070176
CPT-GREYCBD1-TSN4-CPUTCPT;0.13636363636363635
PTA-GREYN1-TSN161-TUT-SOSN;0.13689892051030422
PTA-GREYS2-TSN973-UNIVEN-COL;0.13730314960629922
CPT-GREYSS1-TSN145-CPUTM;0.14569190600522194
DBN-GREY1-TSN497-CAPRISA-DDMRI;0.1459205020920502
CPT-GREYSS1-TSN273-CPUTGSR;0.1466106148187073
LAB-PTA-SAS-SX;0.14824654622741765
POL-GREY1-TSN309-UNISA-PHUB;0.14840425531914894
PTA-GREYN1-TSN203-UNISA-SN;0.15113759479956662
PTA-GREYS2-TSN509-UP-MAMC;0.1523757509557619
JNB-GREY1-TSN112-WITSM;0.15304443225452552
PTA-GREYS2-TSN16-HSRC-MC;0.15346534653465346
JNB-GREY2-TSN295-CSIR-CTF;0.15388858246001103
VDP-GREY2-TSN139-NWUFAR;0.1541436464088398
NLP-TSN537-ARC-ITSC;0.15482796892341844
PTA-GREYN1-TSN162-TUT-SOSS;0.155
RCB-TSN20-AHRI-SOM-1;0.15517241379310345
NC-SKA-TSN239-LOS;0.15517241379310345
PTA-GREYS2-TSN260-CGS;0.15551839464882944
CPT-TENET-LAB-ALU-2;0.15647784632641615
CPT-GREYCBD1-TSN490-CPGR;0.15674157303370786
PZB-GREY1-TSN384-SANBIP;0.15682967959527824
CPT-GREYCBD1-TSN163-UCT-HID;0.1570945945945946
CPT-GREYSS1-TSN495-UCTVH;0.1571830985915493
CPT-GREYBEL1-TSN493-CGSB;0.15771622385528547
CPT-GREYSLB1-TSN292-ARCINFR;0.1578054298642534
CPT-GREYSLB1-TSN103-CSIR;0.1578054298642534
DBN-GREY1-TSN232-NMMS;0.1579841449603624
CPT-GREYBEL1-TSN278-UWCT;0.15807365439093485
CPT-GREYBEL1-TSN812-UWC-DIH;0.1583427922814983
CPT-GREYBEL1-TSN585-UWC-FCHS;0.15843270868824533
CPT-GREYSS1-TSN804-SKAO-BRP;0.15852272727272726
CPT-GREYBEL1-TSN174-UNIBEL;0.1586128482092098
CPT-GREYBEL1-TSN208-USTYG;0.15870307167235495
CPT-GREYBEL1-TSN487-MRCN;0.15870307167235495
JNB-TSN949-GIBS-NORTH;0.16431095406360424
ELS-GREY1-TSN177-UNISAE;0.164407778432528
WTS-TSN467-WSUW;0.16460176991150444
CPT-TENET-LAB-ALU-1;0.16706586826347306
MFK-TSN32-NWUM;0.16787003610108303
DBN-GREY1-TSN11-DUTS;0.16858006042296073
DBN-GREY1-TSN150-DUTB;0.16878402903811252
DBN-GREY1-TSN498-CAPRISA-ECRS;0.1689884918231375
