Node;Core Number;Core Strength;Core Influence
CPT-GREYBEL1-TSN493-CGSB;2;1;0.04245719950721657
CPT-GREYBEL1-TSN585-UWC-FCHS;2;1;0.04245719950721692
CPT-GREYBEL1-TSN34-CPUTB;2;1;0.0424571995072163
DBN-GREY1-TSN375-SANBI;2;1;0.04245719950721347
DBN-GREY1-TSN11-DUTS;2;1;0.04245719950721343
DUR1-PE1;2;6;0.14860019827524706
DBN-GREY1-TSN150-DUTB;2;1;0.04245719950721372
DBN-GREY1-TSN132-MRC;2;1;0.04245719950721386
DBN-GREY1-TSN222-TIA-PWC;2;2;0.06368579926082016
DBN-GREY1-TSN662-CAPRISA-KDH;2;1;0.042457199507213834
DBN-GREY1-TSN13-CAO;2;1;0.042457199507213474
DUR2-PE1;2;6;0.14860019827524745
DBN-GREY1-TSN366-UKZNE-PE;2;2;0.06368579926082021
DBN-GREY1-TSN97-CSIR;2;1;0.0424571995072137
ZEE1-OR1;2;1;0.042457199507213536
ZEH1-PE1;2;5;0.12737159852164034
RCB-TSN596-WRLHS-ALTSO;1;2;0.04245719950721328
RCB-TSN20-AHRI-SOM-1;1;1;0.02122859975360659
RCB-TSN116-UZ-RCB-PE;2;1;0.04245719950721362
VDP-GREY1-TSN90-VUTMC;1;1;0.021228599753606723
CPT-GREYSLB1-TSN292-ARCINFR;1;1;0.02122859975360839
CPT-GREYSLB1-TSN79-SUN;2;1;0.04245719950721667
PTD-TSN216-WSU-PTD-PE;2;1;0.042457199507213494
BIY-TSN65-UFH-BHISHO-PE;2;4;0.10614299876803344
UTE-TSN12-WSU-B-PE;2;1;0.04245719950721352
PTA-GREYS3-TSN250-TIAMHO;2;1;0.042457199507212745
PTA-GREYS3-TSN403-ASSAF;2;2;0.06368579926081876
PTA-TSN455-SITA-CENT-PE;2;3;0.08491439901442588
LCD-TSN186-UNISAM;1;1;0.021228599753606487
THY-TSN87-UNIVEN-MC-PE;1;3;0.06368579926081966
ALC-TSN64-UFHA;2;1;0.04245719950721329
GRH1-PE1;2;2;0.06368579926081994
GRH1-PE2;2;1;0.04245719950721328
MFK-TSN32-NWUM;1;1;0.021228599753606713
MFK1-PE1;2;1;0.04245719950721322
KIM-TSN345-SPU-NC-PE;2;1;0.04245719950721347
ZEH-TSN938-DHA-POTCH;1;1;0.021228599753606775
PTA-GREYS3-TSN8-CHE;2;1;0.04245719950721249
PTA-GREYS2-TSN299-ARCIAE;2;1;0.042457199507230765
PTA-GREYN1-TSN298-ARCOVI;2;1;0.04245719950721784
PTA-GREYN1-TSN75-UPO;2;1;0.04245719950722309
PTA-CSIR-TWR;1;1;0.021228599753606216
CPT-GREYSS1-TSN144-CPUTGSH;2;1;0.04245719950721497
CPT-GREYSS1-TSN273-CPUTGSR;2;1;0.042457199507214875
CPT-GREYSS1-TSN768-UCTCAN;2;1;0.042457199507214764
CPT-GREYSS1-TSN272-UCTDOR;2;2;0.06368579926082166
CPT-GREYSS1-TSN169-UCTRHR;2;3;0.08491439901442908
CPT-GREYBEL1-TSN174-UNIBEL;2;1;0.04245719950721821
CPT-GREYBEL1-TSN22-MRCCPT-PE;2;4;0.10614299876804516
CPT-GREYBEL1-TSN812-UWC-DIH;2;1;0.04245719950721793
CPT-GREYBEL1-TSN278-UWCT;2;1;0.04245719950721871
CPT-GREYBEL1-TSN147-CPUTT;2;2;0.06368579926082733
CPT-GREYBEL1-TSN208-USTYG;2;1;0.04245719950721865
CPT6-PE1;2;4;0.10614299876804176
CPT-GREYBEL1-TSN487-MRCN;2;1;0.04245719950721842
CPT-GREYCBD1-TSN650-NLSA-CFB;2;1;0.042457199507216214
CPT-GREYCBD1-TSN24-NLSA;2;2;0.06368579926082327
CPT-GREYCBD1-TSN18-IZMU;2;2;0.06368579926082472
CPT-GREYCBD2-TSN143-CPUTGB;2;1;0.04245719950721334
CPT-GREYCBD2-TSN109-SANAP;2;1;0.04245719950721344
CPT-GREYCBD2-TSN215-HSRCCPT;2;1;0.04245719950721339
CPT-GREYCBD2-TSN164-UCTBS;2;2;0.06368579926082034
CPT-GREYCBD1-TSN275-MCM;2;1;0.042457199507216305
CPT-GREYCBD1-TSN641-SAEON;2;1;0.04245719950721505
CPT-GREYCBD1-TSN490-CPGR;2;1;0.042457199507217276
CPT-GREYCBD1-TSN4-CPUTCPT;2;2;0.06368579926082679
CPT-GREYCBD1-TSN276-CPUTOPT;2;1;0.042457199507218074
CPT-GREYCBD1-TSN163-UCT-HID;2;2;0.06368579926082647
CPT-GREYCBD1-TSN277-CPUTB;2;1;0.042457199507217935
CPT-GREYSS2-TSN271-UCTRBG;2;2;0.06368579926082053
CPT-GREYSS2-TSN800-UWC-CASAS;2;1;0.04245719950721373
CPT-GREYSS2-TSN168-UCTRCCH;2;1;0.0424571995072138
CPT-GREYSS2-TSN167-UCTRMH;2;1;0.04245719950721376
JNB5-TSN249;2;2;0.06368579926082013
SDT-TSN535-UCT-GSB;2;1;0.04245719950721349
JNB1-PE1;2;6;0.14860019827524723
NC-SKA-TSN239-LOS;2;1;0.04245719950721444
NC-SKA-TSN238-KLE;2;2;0.06368579926082177
LOS-TSN239-SKA-LOS-PE;2;2;0.06368579926082173
KLE-TSN238-SKA-KLE-PE;2;2;0.06368579926082175
CPT5-PE1;2;3;0.08491439901443268
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;2;1;0.04245719950721563
CPT8-PE1;2;1;0.0424571995072138
CPT-GREYSS1-TSN804-SKAO-BRP;2;1;0.042457199507214424
PTA-TSN15-HARTRAO;1;1;0.021228599753606702
HLA1-PE1;3;1;0.06368579926082003
PTA-GREYS1-TSN301-DST;2;1;0.04245719950721234
PTA-GREYS1-TSN30-NRF;2;1;0.04245719950721237
PTA-GREYS2-TSN158-TUT-ARCADIA;2;1;0.042457199507214334
PTA-GREYS2-TSN38-SAASTA;2;1;0.04245719950721546
PTA2-PE1;3;1;0.06368579926081958
PTA-GREYS2-TSN29-ZOO;2;1;0.042457199507232195
PTA-GREYS2-TSN410-TUT-BAE;2;1;0.042457199507228614
PTA-GREYS2-TSN159-TUT-ARTS;2;1;0.0424571995072353
PTA3-PE1;2;1;0.04245719950721271
PTA-GREYN1-TSN184-UNISA-LTC;2;1;0.04245719950724202
PTA-GREYN1-TSN200-UNISA-SSE;2;1;0.04245719950724087
PTA-GREYN1-TSN201-UNISA-SSW;2;1;0.04245719950724209
PTA-GREYN1-TSN204-UNISA-SRB;2;1;0.042457199507223514
PTA-GREYN1-TSN538-TUT-ADT;2;1;0.04245719950721838
PTA4-PE1;2;1;0.04245719950721273
PTA-GREYN2-TSN282-INNHUB;2;1;0.042457199507212405
MTZ1-IR1;3;5;0.14860019827524662
MTZ1-IR1-MTZ1-RR1;1;1;0.0212285997536066
AMS1-IR1;3;1;0.06368579926082016
