graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
pzb,betweeness,10,0.27601,3.8,0.5,2.0,-0.60064,2.5,0.1,-0.8
pzb,closeness,10,0.27601,3.8,0.5,2.0,-0.60064,2.5,0.1,-0.8
pzb,core influence,10,0.34461,3.6,0.6,1.7,-0.53203,2.3,0.2,-1.1
pzb,degree,10,0.27601,3.8,0.5,2.0,-0.60064,2.5,0.1,-0.8
pzb,random,10,0.87665,1.3,0.4,2.8,0.0,0.0,0.0,0.0
