node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
BFN-GREY1-TSN246-UFSPSY,201,19,0.0,0,19,1.0,core influence
PZB-TSN534-HSRC-SW,202,18,0.0,0,18,1.0,core influence
WACS2,203,17,0.0,0,17,1.0,core influence
BAAI,204,16,0.0,0,16,1.0,core influence
AMLIGHT,205,15,0.0,0,15,1.0,core influence
PZB-TSN670-ARC-CACWL,206,14,0.0,0,14,1.0,core influence
PZB-TSN267-SAEON-GWFN,207,13,0.0,0,13,1.0,core influence
KIM-TSN760-SPUC,208,12,0.0,0,12,1.0,core influence
WEL1,209,11,0.0,0,11,1.0,core influence
BFN-GREY1-TSN173-UNISAB,210,10,0.0,0,10,1.0,core influence
BAAIIS,211,9,0.0,0,9,1.0,core influence
PTD-TSN216-WSU-PTD-PE,212,8,0.0,0,8,1.0,core influence
BIY-TSN65-UFH-BHISHO-PE,213,7,0.0,0,7,1.0,core influence
UTE-TSN12-WSU-B-PE,214,6,0.0,0,6,1.0,core influence
CPT-GREYSS1-TSN495-UCTVH,215,5,0.0,0,5,1.0,core influence
CPT-GREYSS1-TSN500-CPUTSPR,216,4,0.0,0,4,1.0,core influence
VDP-GREY1-TSN90-VUTMC,217,3,0.0,0,3,1.0,core influence
JOBURG,218,2,0.0,0,2,1.0,core influence
