graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
pta,betweeness,60,0.00101,12.8,1.68333,1.42139,-0.00292,5.61667,-2.18333,-0.7277
pta,closeness,60,0.06714,5.8,1.1,1.77306,0.06321,-1.38333,-2.76667,-0.37603
pta,core influence,60,0.00101,13.93333,2.48333,1.49917,-0.00292,6.75,-1.38333,-0.64992
pta,degree,60,0.00101,14.75,1.81667,1.52583,-0.00292,7.56667,-2.05,-0.62325
pta,random,60,0.00393,7.18333,3.86667,2.14909,0.0,0.0,0.0,0.0
