graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
bfn,betweeness,16,0.03598,6.4375,0.6875,1.25,-0.35278,4.75,-1.5625,-1.125
bfn,closeness,16,0.03598,6.0625,0.75,1.3125,-0.35278,4.375,-1.5,-1.0625
bfn,core influence,16,0.03598,6.8125,0.5,1.1875,-0.35278,5.125,-1.75,-1.1875
bfn,degree,16,0.03598,6.5625,0.5,1.1875,-0.35278,4.875,-1.75,-1.1875
bfn,random,16,0.38876,1.6875,2.25,2.375,0.0,0.0,0.0,0.0
