node_label,node_id,degree,closeness,betweenness,core_influence,deg_n,clo_n,bet_n,ci_n,agg_score,is_connecting_node
ELSIS,16,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156,False
ISANDO,17,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156,True
CAPE2,15,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156,True
BFN-GREY1-TSN246-UFSPSY,7,0.0625,0.380952,0.0,0.149071,0.0,0.074675,0.0,0.0,0.018669,False
WITS,14,0.0625,0.380952,0.0,0.149071,0.0,0.074675,0.0,0.0,0.018669,True
WEL1,12,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146,False
KIM-TSN760-SPUC,11,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146,False
BFN-GREY1-TSN173-UNISAB,1,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146,False
