graph,strategy,steps,AUC_aG,AUC_e0_mult,AUC_e1_mult,AUC_CIS,Delta_aG_vs_random,Delta_e0_mult_vs_random,Delta_e1_mult_vs_random,Delta_CIS_vs_random
els,betweeness,13,0.04609,6.0,0.69231,1.34615,-0.41874,4.0,-1.07692,-1.38462
els,closeness,13,0.04609,5.46154,0.69231,1.34615,-0.41874,3.46154,-1.07692,-1.38462
els,core influence,13,0.04609,5.61538,0.76923,1.34615,-0.41874,3.61538,-1.0,-1.38462
els,degree,13,0.04609,5.92308,0.69231,1.34615,-0.41874,3.92308,-1.07692,-1.38462
els,random,13,0.46483,2.0,1.76923,2.73077,0.0,0.0,0.0,0.0
